name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Detachment (2011)            ,"7.7 based on 56,882 user ratings",2012-02-01,Tony Kaye,"Adrien Brody,Christina Hendricks,Marcia Gay Harden",52,125 user,140 critic,3,"teacher,school,detachment,classroom,prostitute",Drama,NA,USA,English,NA,10739(USA),71177,98,Color,1.85:1
Warrior (2011)            ,"8.2 based on 331,506 user ratings",2011-09-09,Gavin O'Connor,"Tom Hardy,Nick Nolte,Joel Edgerton",71,513 user,317 critic,418,"tournament,mixed-martial-arts,alcoholic,return-home,underdog","Drama,Sport","Rated PG-13 for sequences of intense mixed martial arts fighting, some language and thematic material",USA,"English,Spanish",25000000,5242107(USA),13651662,140,Color,2.35:1
Midnight in Paris (2011)            ,"7.7 based on 300,625 user ratings",2011-06-10,Woody Allen,"Owen Wilson,Rachel McAdams,Kathy Bates",81,509 user,487 critic,806,"1920s,golden-age,time-travel-romance,paris-france,midnight","Comedy,Fantasy,Romance",Rated PG-13 for some sexual references and smoking,"Spain,USA,France","English,French,Spanish,German",17000000,599003(USA),56816662,NA,Color,1.85:1
Source Code (2011)            ,"7.5 based on 378,652 user ratings",2011-04-01,Duncan Jones,"Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga",74,569 user,522 critic,747,"time-loop,train,bomber,time,trapped-in-a-time-loop","Mystery,Sci-Fi,Thriller","Rated PG-13 for some violence including disturbing images, and for language","USA,Canada",English,32000000,£1306661(UK),54696902,93,Color,1.85:1
The Girl with the Dragon Tattoo (2011)            ,"7.8 based on 329,632 user ratings",2011-12-21,David Fincher,"Daniel Craig,Rooney Mara,Christopher Plummer",71,632 user,517 critic,524,"investigation,punk,journalist,hacker,computer-hacker","Crime,Drama,Mystery,Thriller","Rated R for brutal violent content including rape and torture, strong sexuality, graphic nudity, and language","USA,Sweden,Norway",English,90000000,12750000(USA),102515793,158,Color,2.35:1
Samsara (2011)            ,"8.5 based on 22,354 user ratings",2012-08-23,Ron Fricke,"Balinese Tari Legong Dancers,Ni Made Megahadi Pratiwi,Puti Sri Candra Dewi",65,69 user,115 critic,3,"yellowstone-national-park,turkey-the-country,hall-of-mirrors,palace-of-versailles,mont-saint-michel-france","Documentary,Music",Rated PG-13 for some disturbing and sexual images,"USA,Indonesia,Singapore,Thailand,Kenya,Denmark,Brazil,Jordan,United Arab Emirates,Saudi Arabia,South Africa,Italy,Ghana,Egypt,China,Japan",None,4000000,105000(USA),2601847,102,Color,2.35:1
The Help (2011)            ,"8.1 based on 318,290 user ratings",2011-08-10,Tate Taylor,"Emma Stone,Viola Davis,Octavia Spencer",62,460 user,373 critic,470,"black-servant,maid,jackson-mississippi,chocolate-pie,writing-a-novel",Drama,Rated PG-13 for thematic material,"USA,India,United Arab Emirates",English,25000000,26044590(USA),169705587,NA,Color,1.85:1
Rio (2011)            ,"7.0 based on 165,024 user ratings",2011-04-15,Carlos Saldanha,"Jesse Eisenberg,Anne Hathaway,George Lopez",63,186 user,240 critic,1,"bird,minnesota,macaw,brazilian,cockatoo","Animation,Adventure,Comedy,Family,Musical",NA,USA,"English,Portuguese",90000000,£1515853(UK),143618384,96,Color,2.35:1
Moneyball (2011)            ,"7.6 based on 283,173 user ratings",2011-09-23,Bennett Miller,"Brad Pitt,Robin Wright,Jonah Hill",87,312 user,419 critic,1,"strategy,voice-over,statistics,baseball,meeting","Biography,Drama,Sport",Rated PG-13 for some strong language,USA,English,50000000,19501302(USA),75605492,133,Color,1.85:1
War Horse (2011)            ,"7.2 based on 116,002 user ratings",2011-12-25,Steven Spielberg,"Jeremy Irvine,Emily Watson,David Thewlis",72,488 user,388 critic,2,"world-war-one,horse,cavalry,british,barbed-wire","Drama,War",Rated PG-13 for intense sequences of war violence,"USA,UK","English,German",66000000,7512000(USA),79883359,146, Black and White,2.35:1
