name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp
Inglourious Basterds (2009)            ,"8.3 based on 882,881 user ratings",2009-08-21,"Quentin Tarantino,Eli Roth","Brad Pitt,Diane Kruger,Eli Roth",69,"1,525 user",486 critic,217,"german,france,scalping,revenge,nazis","Adventure,Drama,War","Rated R for strong graphic violence, language and brief sexuality","USA,Germany","English,German,French,Italian",75000000,£3596415(UK),120523073,153,Color,2.35:1
Up (2009)            ,"8.3 based on 663,770 user ratings",2009-05-29,"Pete Docter,Bob Peterson","Edward Asner,Jordan Nagai,John Ratzenberger",88,703 user,408 critic,1,"house,balloon,skeleton,promise,retirement","Animation,Adventure,Comedy,Family",Rated PG for some peril and action,USA,English,175000000,68108790(USA),292979556,96,Color,1.85:1
A Single Man (2009)            ,"7.6 based on 83,068 user ratings",2010-02-05,Tom Ford,"Colin Firth,Julianne Moore,Matthew Goode",77,247 user,281 critic,2,"practicing-a-suicide,suicide-contemplation,car-accident,male-full-back-nudity,public-nudity","Drama,Romance",Rated R for some disturbing images and nudity/sexual content,USA,"English,Spanish",7000000,217332(USA),9166863,99,Color,2.35:1
(500) Days of Summer (2009)            ,"7.7 based on 375,888 user ratings",2009-08-07,Marc Webb,"Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend",76,494 user,331 critic,830,"true-love,summer,friend,greeting-card,office","Comedy,Drama,Romance",Rated PG-13 for sexual material and language,USA,"English,French,Swedish",7500000,834501(USA),32391374,95,Color,2.35:1
Fantastic Mr. Fox (2009)            ,"7.8 based on 138,814 user ratings",2009-11-25,Wes Anderson,"George Clooney,Meryl Streep,Bill Murray",83,245 user,330 critic,1,"fox,farmer,farm,cider,tale","Animation,Adventure,Comedy,Crime,Family","Rated PG for action, smoking and slang humor",USA,"English,French",40000000,£1517312(UK),20999103,87,Color,1.85:1
Everybody's Fine (2009)            ,"7.2 based on 49,808 user ratings",2009-12-04,Kirk Jones,"Robert De Niro,Kate Beckinsale,Sam Rockwell",47,117 user,159 critic,4,"parental-love,retirement,train-ride,bus-trip,surprise-visit","Adventure,Drama",Rated PG-13 for thematic elements and brief strong language,USA,English,21000000,3852068(USA),8855646,NA,Color,2.35:1
He's Just Not That Into You (2009)            ,"6.4 based on 131,860 user ratings",2009-02-06,Ken Kwapis,"Jennifer Aniston,Jennifer Connelly,Morgan Lily",47,203 user,161 critic,1,"lingerie-slip,dating,advertising,bar,six-word-title","Comedy,Drama,Romance",Rated PG-13 for sexual content and brief strong language,"USA,Germany,Netherlands",English,40000000,£1913542(UK),93952276,129,Color,2.35:1
The Blind Side (2009)            ,"7.7 based on 222,666 user ratings",2009-11-20,John Lee Hancock,"Quinton Aaron,Sandra Bullock,Tim McGraw",53,420 user,260 critic,422,"american-football,football-star,high-school-football,based-on-true-story,left-tackle","Biography,Drama,Sport","Rated PG-13 for one scene involving brief violence, drug and sexual references",USA,English,29000000,34119372(USA),255950375,NA,Color,1.85:1
Watchmen (2009)            ,"7.7 based on 391,644 user ratings",2009-03-06,Zack Snyder,"Jackie Earle Haley,Patrick Wilson,Carla Gugino",56,"1,228 user",451 critic,227,"conspiracy,false-promise-of-the-american-dream,male-nudity,cynicism,male-full-frontal-nudity","Action,Drama,Mystery,Sci-Fi","Rated R for strong graphic violence, sexuality, nudity and language",USA,English,130000000,£3243001(UK),107503316,162,Color,2.35:1
Avatar (2009)            ,"7.9 based on 884,811 user ratings",2009-12-18,James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver",83,"3,054 user",721 critic,216,"paraplegic,native,marine,avatar,future","Action,Adventure,Fantasy,Sci-Fi","Rated PG-13 for intense epic battle sequences and warfare, sensuality, language and some smoking","USA,UK","English,Spanish",237000000,£8509050(UK),760505847,162,Color,1.78:1
