"Average monthly BID rates @ +/- 0%"
"www.oanda.com/currency/historical-rates/"
""
""
"End Date","USD/CAD","","","","","","","","",""
"2008-05-31","1.00050",,,,,,,,,
"2008-04-30","1.01324",,,,,,,,,
"2008-03-31","1.00164",,,,,,,,,
"2008-02-29","1.00084",,,,,,,,,
"2008-01-31","1.01093",,,,,,,,,
"2007-12-31","1.00039",,,,,,,,,
"2007-11-30","0.963469",,,,,,,,,
"2007-10-31","0.974925",,,,,,,,,
"2007-09-30","1.02743",,,,,,,,,
"2007-08-31","1.05795",,,,,,,,,
"2007-07-31","1.05158",,,,,,,,,
"2007-06-30","1.06492",,,,,,,,,
"2007-05-31","1.09590",,,,,,,,,
"2007-04-30","1.13557",,,,,,,,,
"2007-03-31","1.16901",,,,,,,,,
"2007-02-28","1.17054",,,,,,,,,
"2007-01-31","1.17446",,,,,,,,,
"2006-12-31","1.15304",,,,,,,,,
"2006-11-30","1.13559",,,,,,,,,
"2006-10-31","1.12733",,,,,,,,,
"2006-09-30","1.11534",,,,,,,,,
"2006-08-31","1.11970",,,,,,,,,
"2006-07-31","1.12693",,,,,,,,,
"2006-06-30","1.11316",,,,,,,,,
"2006-05-31","1.10973",,,,,,,,,
"2006-04-30","1.14512",,,,,,,,,
"2006-03-31","1.15591",,,,,,,,,
"2006-02-28","1.14901",,,,,,,,,
"2006-01-31","1.15811",,,,,,,,,
"2005-12-31","1.16160",,,,,,,,,
"2005-11-30","1.18137",,,,,,,,,
"2005-10-31","1.17711",,,,,,,,,
"2005-09-30","1.17796",,,,,,,,,
"2005-08-31","1.20474",,,,,,,,,
"2005-07-31","1.22410",,,,,,,,,
"2005-06-30","1.23991",,,,,,,,,
"2005-05-31","1.25541",,,,,,,,,
"2005-04-30","1.23545",,,,,,,,,
"2005-03-31","1.21501",,,,,,,,,
"2005-02-28","1.23817",,,,,,,,,
"2005-01-31","1.22342",,,,,,,,,
"2004-12-31","1.21735",,,,,,,,,
"2004-11-30","1.19387",,,,,,,,,
"2004-10-31","1.24606",,,,,,,,,
"2004-09-30","1.28868",,,,,,,,,
"2004-08-31","1.31253",,,,,,,,,
"2004-07-31","1.32122",,,,,,,,,
"2004-06-30","1.35852",,,,,,,,,
"2004-05-31","1.37651",,,,,,,,,
"2004-04-30","1.34034",,,,,,,,,
"2004-03-31","1.32749",,,,,,,,,
"2004-02-29","1.32834",,,,,,,,,
"2004-01-31","1.29684",,,,,,,,,
"2003-12-31","1.31271",,,,,,,,,
"2003-11-30","1.31089",,,,,,,,,
"2003-10-31","1.32192",,,,,,,,,
"2003-09-30","1.36208",,,,,,,,,
"2003-08-31","1.39375",,,,,,,,,
"2003-07-31","1.37856",,,,,,,,,
"2003-06-30","1.35155",,,,,,,,,
"2003-05-31","1.38301",,,,,,,,,
"2003-04-30","1.45583",,,,,,,,,
"2003-03-31","1.47563",,,,,,,,,
"2003-02-28","1.51319",,,,,,,,,
"2003-01-31","1.54085",,,,,,,,,
"2002-12-31","1.55885",,,,,,,,,
"2002-11-30","1.57096",,,,,,,,,
"2002-10-31","1.57835",,,,,,,,,
"2002-09-30","1.57343",,,,,,,,,
"2002-08-31","1.56776",,,,,,,,,
"2002-07-31","1.54540",,,,,,,,,
"2002-06-30","1.53041",,,,,,,,,
"2002-05-31","1.54907",,,,,,,,,
"2002-04-30","1.57990",,,,,,,,,
"2002-03-31","1.58681",,,,,,,,,
"2002-02-28","1.59510",,,,,,,,,
"2002-01-31","1.60029",,,,,,,,,
"2001-12-31","1.57834",,,,,,,,,
"2001-11-30","1.59377",,,,,,,,,
"2001-10-31","1.57008",,,,,,,,,
"2001-09-30","1.56612",,,,,,,,,
"2001-08-31","1.53844",,,,,,,,,
"2001-07-31","1.52944",,,,,,,,,
"2001-06-30","1.52408",,,,,,,,,
"2001-05-31","1.54047",,,,,,,,,
"2001-04-30","1.55710",,,,,,,,,
"2001-03-31","1.55801",,,,,,,,,
"2001-02-28","1.52192",,,,,,,,,
"2001-01-31","1.50251",,,,,,,,,
"2000-12-31","1.52091",,,,,,,,,
"2000-11-30","1.54250",,,,,,,,,
"2000-10-31","1.51133",,,,,,,,,
"2000-09-30","1.48346",,,,,,,,,
"2000-08-31","1.48194",,,,,,,,,
"2000-07-31","1.47786",,,,,,,,,
"2000-06-30","1.47581",,,,,,,,,
"2000-05-31","1.49423",,,,,,,,,
"2000-04-30","1.46746",,,,,,,,,
"2000-03-31","1.45984",,,,,,,,,
"2000-02-29","1.44882",,,,,,,,,
"2000-01-31","1.44769",,,,,,,,,
""
"Period Average","1.20551","","","","","","","","",""
"Period Low","0.955676","","","","","","","","",""
"Period High","1.60029","","","","","","","","",""
