actor,gross,budget,profit_ratio
Drew Barrymore,740491169,770001100,0.961675469035044
Lucy Liu,272220259,339917341.97731,0.800842514878723
Harrison Ford,1021612912,1.088e+09,0.938982455882353
Michelle Pfeiffer,377946903,3.14e+08,1.20365255732484
Katharine Towne,155370362,1e+08,1.55370362
Jeanne Tripplehorn,1009479,4e+06,0.25236975
Stellan Skarsgård,60711335,9.6e+07,0.632409739583333
Salma Hayek,631906980,5.49e+08,1.15101453551913
Piper Perabo,196262998,216600000,0.906108024007387
Adam Garcia,119869819,1.08e+08,1.10990573148148
Breckin Meyer,245733071,131700000,1.86585475322703
Seann William Scott,676493395,482600000,1.40176832780771
Amy Smart,217590657,163600000,1.3300162408313
Morgan Freeman,1731272736,1490500000,1.16153823280778
Gene Hackman,220375835,2.57e+08,0.857493521400778
Thomas Jane,133987114,3.08e+08,0.435023097402597
Melanie Griffith,1276984,3e+07,0.0425661333333333
Stephen Dorff,44702999,90390000,0.494556908950105
Alicia Witt,221754344,1.9e+08,1.16712812631579
Michael Polish,985341,5e+05,1.970682
Mark Polish,985341,5e+06,0.1970682
Michele Hicks,985341,5e+05,1.970682
Meg Ryan,153697619,254500000,0.603919917485265
Russell Crowe,1017496328,1.155e+09,0.880949201731602
David Morse,186956157,2.22e+08,0.842144851351351
John Malkovich,262587037,286300000,0.917174421935033
Willem Dafoe,579043161,578500000,1.00093891270527
Udo Kier,8374413,1.2e+07,0.69786775
Juliette Binoche,134507101,1.05e+08,1.28102000952381
Judi Dench,435923432,4.67e+08,0.933454886509636
Alfred Molina,580892317,477200000,1.21729320410729
Martin Lawrence,907305019,535100000,1.69558030087834
Paul Giamatti,546689165,399500000,1.3684334543179
Cate Blanchett,1256016943,1166600000,1.07664747385565
Katie Holmes,58173748,109100000,0.533214922089826
Keanu Reeves,1098370141,1225900000,0.8959704225467
Bill Haugland,327418,8500000,0.0385197647058824
Nelson Landrieu,327418,8500000,0.0385197647058824
Anthony Hopkins,849642649,1.126e+09,0.75456718383659
Jessica Lange,84361873,6.9e+07,1.22263584057971
Chris Rock,1004705203,655200000,1.5334328495116
Danny DeVito,284335087,1.55e+08,1.83441991612903
Peter Facinelli,3153425,8900000,0.354317415730337
Diane Keaton,336897862,4.25e+08,0.792700851764706
Lisa Kudrow,156455549,2.5e+08,0.625822196
Catherine McCormack,3913135,2.12e+08,0.0184581839622641
Sean Penn,384085470,4.34e+08,0.884989562211982
Sarah Polley,34100714,85600000,0.398372827102804
Kevin Conroy,0,10500000,0
Anna Friel,132987144,1.51e+08,0.880709562913907
Nick Stahl,222536315,203400000,1.09408217797443
Marisa Tomei,427181092,281500000,1.51751720071048
Ben Affleck,1395882275,8.64e+08,1.6156044849537
Gwyneth Paltrow,1330429012,9.1e+08,1.4620099032967
Natasha Henstridge,61537866,1.03e+08,0.597455009708738
Kevin Kline,266025084,264500000,1.00576591304348
Kenneth Branagh,65400066,9.5e+07,0.688421747368421
Rosie Perez,50834487,95800000,0.530631388308977
Brendan Fraser,467769973,719200000,0.650403188264739
Elizabeth Hurley,71740366,1.06e+08,0.676795905660377
Frances O'Connor,116496685,1.48e+08,0.787139763513514
Adam Sandler,2093393936,1.529e+09,1.36912618443427
Patricia Arquette,68092825,90200000,0.754909368070953
Gerard Butler,1277746895,1.136e+09,1.12477719630282
Justine Waddell,70238918,60800000,1.15524536184211
Jonny Lee Miller,66000754,5.6e+07,1.17858489285714
David Arquette,150834598,1.23e+08,1.22629754471545
Neve Campbell,132037567,1.11e+08,1.18952763063063
Courteney Cox,264870001,237150000,1.11688804975754
Joan Allen,441551247,2.3e+08,1.91978803043478
Gary Oldman,670599635,7.35e+08,0.912380455782313
Jeff Bridges,1034756437,8.1e+08,1.27747708271605
Emily Watson,216470483,2.42e+08,0.894506128099174
Robert Carlyle,13301169,41700000,0.318972877697842
Joe Breen,13038660,2.5e+07,0.5215464
Fred Willard,155452050,6.6e+07,2.35533409090909
Eugene Levy,323563163,1.98e+08,1.63415738888889
Catherine O'Hara,136673246,1.57e+08,0.870530229299363
Viggo Mortensen,173700672,2e+08,0.86850336
Dominic West,128616781,1.77e+08,0.726648480225989
Penélope Cruz,575987771,7.1e+08,0.811250381690141
Henry Thomas,15906768,66700000,0.23848227886057
Edward Furlong,43805,3500000,0.0125157142857143
Danny Trejo,32343501,7.6e+07,0.425572381578947
Ryan Phillippe,210421765,253600000,0.829738820977918
Benicio Del Toro,249854698,514500000,0.485626235179786
Juliette Lewis,6088609,8500000,0.716306941176471
Timothy Olyphant,467307523,4.01e+08,1.16535541895262
Dean Cain,3489716,2e+06,1.744858
Zach Braff,183929443,180500000,1.01899968421053
Jet Li,450961073,5.44e+08,0.828972560661765
Isaiah Washington,137745281,1.33e+08,1.03567880451128
Murilo Benício,5018450,8e+06,0.62730625
Harold Perrineau,5018450,8e+06,0.62730625
Huey Lewis,4734235,1.5e+07,0.315615666666667
Pierce Brosnan,420762790,404200000,1.04097671944582
Alejandro Acevedo-Gutiérrez,0,7200000,0
Dean Bernal,0,7200000,0
Jim Cummings,113384830,1.15e+08,0.985955043478261
Nikita Hopkins,45542421,3e+07,1.5180807
Ken Sansom,68616032,6.5e+07,1.05563126153846
Colin Farrell,666237224,967500000,0.688617285788114
Matthew Davis,62912358,56500000,1.1134930619469
Clifton Collins Jr.,45785631,74500000,0.614572228187919
Janet McTeer,6101868,3600000,1.69496333333333
Michael Davis,6101868,3600000,1.69496333333333
Michael Goodwin,6101868,3600000,1.69496333333333
Brooke Langton,55333159,5e+07,1.10666318
Mark Wahlberg,2276337993,1.381e+09,1.64832584576394
Sanaa Lathan,286518609,2e+08,1.432593045
Omar Epps,27441122,1.5e+07,1.82940813333333
Glenndon Chatman,27441122,1.5e+07,1.82940813333333
Justin Whalin,15185241,4.5e+07,0.3374498
Jeremy Irons,101510236,1.45e+08,0.700070593103448
Zoe McLellan,15185241,4.5e+07,0.3374498
Rosanna Arquette,96734,2200000,0.04397
Emmanuelle Béart,0,8200000,0
Marco Leonardi,0,5e+06,0
Michael Parks,1821983,1.2e+07,0.151831916666667
Temuera Morrison,0,5e+06,0
James Marsden,261485987,2.26e+08,1.15701764159292
Lena Headey,399895860,301500000,1.3263544278607
Norman Reedus,15378127,3.9e+07,0.394310948717949
Michelle Rodriguez,667119977,474800000,1.40505471145746
Santiago Douglas,3047882,2e+06,1.523941
Jaime Tirelli,3047882,2e+06,1.523941
Tilda Swinton,502514592,420200000,1.19589384102808
Goran Visnjic,50873290,6.8e+07,0.748136617647059
Jonathan Tucker,50670861,2.6e+07,1.94887926923077
Brent Fellows,52228,60000,0.870466666666667
Gio Black Peter,52228,60000,0.870466666666667
Ellie Nicholson,52228,60000,0.870466666666667
Jeffrey Donovan,26747439,2.1e+07,1.27368757142857
Stephen Barker Turner,26421314,1.5e+07,1.76142093333333
Erica Leerhsen,26421314,1.5e+07,1.76142093333333
Damon Wayans,86221490,4.7e+07,1.83449978723404
Savion Glover,2185266,1e+07,0.2185266
Jada Pinkett Smith,338217478,2.4e+08,1.40923949166667
James Spader,53890766,8.4e+07,0.641556738095238
Julian Sands,399793,7700000,0.0519211688311688
Saffron Burrows,4698122,4e+06,1.1745305
Stefano Dionisi,399793,4e+06,0.09994825
Shane West,9294459,1.5e+07,0.6196306
Marla Sokoloff,22022944,27750000,0.793619603603604
Jodi Lyn O'Keefe,8735529,1.5e+07,0.5823686
Richard Gere,474325797,424500000,1.11737525795053
Farrah Fawcett,13065561,1.2e+07,1.08879675
John Travolta,678577849,6.65e+08,1.02041781804511
Forest Whitaker,653340370,500800000,1.30459339057508
Barry Pepper,78859030,1.84e+08,0.428581684782609
William H. Macy,211562664,160700000,1.31650693217175
John Ritter,0,1e+06,0
Annette Bening,100771901,131150000,0.768371338162409
Eric Mabius,50740078,5.5e+07,0.922546872727273
Fred Ward,19693891,4.4e+07,0.447588431818182
Eddie Murphy,2121672163,1.387e+09,1.52968432804614
Janet Jackson,314009160,1e+08,3.1400916
Larry Miller,140600326,7.7e+07,1.82597825974026
Robin Dunne,0,3800000,0
Garry Shandling,161310942,1.3e+08,1.2408534
Tim Roth,430210499,4.05e+08,1.06224814567901
Jonathan Lipnicki,64988411,5.2e+07,1.24977713461538
Rollo Weeks,13555988,2.2e+07,0.616181272727273
Richard E. Grant,13555988,2.4e+07,0.564832833333333
Philip Seymour Hoffman,351688382,325500000,1.08045585867896
Rebecca Pidgeon,6967931,3.5e+07,0.199083742857143
Ben Chaplin,53666033,95800000,0.560188235908142
Sarah Wynter,16779636,3.3e+07,0.508473818181818
Jason Biggs,368869983,2.03e+08,1.81709351231527
Mena Suvari,15531178,6.6e+07,0.235320878787879
Zak Orth,15464026,2e+07,0.7732013
Rupert Everett,55640739,5e+07,1.11281478
Freddie Prinze Jr.,308739427,2.77e+08,1.11458276895307
Julia Stiles,273690437,1.27e+08,2.15504281102362
Selma Blair,188212536,2.07e+08,0.909239304347826
Demi Moore,14944092,7.4e+07,0.201947189189189
Sylvester Stallone,601275958,7.95e+08,0.756321959748428
Rachael Leigh Cook,41353219,1.02e+08,0.405423715686274
Miranda Richardson,43133064,4e+07,1.0783266
Kim Basinger,283562611,328500000,0.863204295281583
Vincent Perez,6543194,3.4e+07,0.192446882352941
Liam Aiken,6669436,3.4e+07,0.196159882352941
Jennifer Morrison,21468807,1.4e+07,1.53348621428571
Hart Bochner,21468807,1.4e+07,1.53348621428571
Heather Graham,86842722,139500000,0.62252847311828
Casey Affleck,128759907,202500000,0.635851392592593
Luke Wilson,144722988,1.87e+08,0.773919721925134
Hilary Swank,381064825,3.7e+08,1.02990493243243
Chloë Sevigny,16315629,38917341.9773096,0.419238009870065
Peter Sarsgaard,512381562,5.18e+08,0.989153594594595
Tom Wilkinson,408013445,273400000,1.49236812362838
Sissy Spacek,189497773,38900000,4.87140804627249
Mark Addy,155659897,2.43e+08,0.64057570781893
Stephen Baldwin,35231365,6e+07,0.587189416666667
Kristen Johnston,35231365,6e+07,0.587189416666667
Joshua Jackson,60933723,2.3e+07,2.64929230434783
Paul Walker,1368067363,8.74e+08,1.56529446567506
Hill Harper,35007180,1.5e+07,2.333812
Lana Parrilla,0,2e+06,0
Josh Green,85884815,9.2e+07,0.933530597826087
Oliver Macready,0,2e+06,0
Rene Russo,254988332,309500000,0.823871831987076
Ian Holm,63837733,7e+07,0.911967614285714
Stanley Tucci,132566223,310500000,0.426944357487923
Hope Davis,127035629,1.25e+08,1.016285032
Claire Forlani,45430420,5.7e+07,0.797024912280702
Brendon Ryan Barrett,20627372,1.6e+07,1.28921075
Chris Klein,35015197,1.12e+08,0.3126356875
Leelee Sobieski,74422542,109500000,0.679657917808219
Vicellous Shannon,50668906,3.8e+07,1.33339226315789
Deborah Kara Unger,110965271,4.8e+07,2.31177647916667
Mike White,82534755,35250000,2.3414114893617
Chris Weitz,1050600,250000,4.2024
Lupe Ontiveros,6895529,3250000,2.12170123076923
Patrick Swayze,261603,4.4e+07,0.00594552272727273
Penelope Ann Miller,35374833,36700000,0.963891907356948
Jeremy Renner,613657983,557200000,1.10132444903087
Bruce Davison,19095329,1.4e+07,1.36395207142857
Josh Zuckerman,8396942,1.9e+07,0.441944315789474
Jimmy Smits,29374178,4e+07,0.73435445
Rufus Sewell,183089558,2.59e+08,0.70690949034749
Wesley Snipes,179287651,2.57e+08,0.697617319066148
Anne Archer,30199105,4e+07,0.754977625
Maury Chaykin,37938154,5.8e+07,0.654106103448276
Christine Cavanaugh,76501438,3e+07,2.55004793333333
Elizabeth Daily,87913082,4.1e+07,2.14422151219512
Cheryl Chase,76501438,3e+07,2.55004793333333
Kristin Scott Thomas,24134783,42600000,0.566544201877934
Anne Bancroft,3439239,4e+07,0.085980975
Mark McLachlan,0,2800000,0
Caitlin Martin,0,2800000,0
Chris Solari,0,2800000,0
Amanda Peet,146335275,1.67e+08,0.876259131736527
Brian Van Holt,4142507,3e+06,1.38083566666667
Jonathan Abrahams,4142507,3e+06,1.38083566666667
Jay Harrington,0,5e+06,0
Ravil Isyanov,0,5e+06,0
David Beecroft,0,5e+06,0
Michael Shannon,329268989,3.36e+08,0.979967229166667
Frank Langella,74789754,126500000,0.591223351778656
Lena Olin,40813831,48600000,0.839790761316872
Famke Janssen,51106070,3.1e+07,1.64858290322581
Peter Stormare,96602306,1.96e+08,0.492868908163265
Zooey Deschanel,378397059,2.37e+08,1.59661206329114
Will Ferrell,1949974732,1.272e+09,1.53299900314465
Shane Carruth,1264587,64000,19.759171875
David Sullivan,849520,14000,60.68
Casey Gooden,849520,14000,60.68
Barry McEvoy,75078,1.4e+07,0.00536271428571429
Brían F. O'Byrne,75078,1.4e+07,0.00536271428571429
Ryan Gosling,353072333,297300000,1.18759614194416
Summer Phoenix,812070,3e+06,0.27069
Peter Meadows,812070,3e+06,0.27069
James Denton,0,7e+06,0
Christina Hendricks,285072,5.2e+07,0.00548215384615385
Anthony LaPaglia,331872,7e+06,0.0474102857142857
Jessica Simpson,137146600,8.4e+07,1.63269761904762
Dane Cook,308100158,2.14e+08,1.43972036448598
Dax Shepard,161880105,1.26e+08,1.28476273809524
Leonor Varela,227181,7500000,0.0302908
Jacob Vargas,227181,10500000,0.0216362857142857
Luis Fernando Peña,227181,7500000,0.0302908
Christopher Walken,471278405,3.43e+08,1.37398951895044
Alessandro Nivola,42017991,2.6e+07,1.61607657692308
Sharon Stone,96138483,1.94e+08,0.49555919072165
Sam Rockwell,193363375,2.09e+08,0.925183612440191
George Clooney,1525238283,1.189e+09,1.28279081833473
Liv Tyler,297348238,2.62e+08,1.1349169389313
Raquel Castro,50532258,7e+07,0.7218894
David Duchovny,75606306,1.68e+08,0.450037535714286
Robin Williams,433010028,4.49e+08,0.964387590200445
Alex Kendrick,79219105,4100000,19.3217329268293
Ken Bevel,102495921,4500000,22.7768713333333
Kevin Downes,69044442,4e+06,17.2611105
Ariel Gade,50945934,6e+07,0.8490989
John C. Reilly,585925409,490400000,1.19479080138662
John Tormey,10796752,2.6e+07,0.415259692307692
John Hawkes,63544739,2.8e+07,2.26945496428571
Miranda July,8907000,6e+06,1.4845
Miles Thompson,7770268,4e+06,1.942567
Dwight Yoakam,10046550,3e+07,0.334885
Eric Roberts,0,14700000,0
Bryan Genesse,0,1700000,0
Terry Crews,190646992,1.2e+08,1.58872493333333
Sean Bean,179921753,1.77e+08,1.01650707909605
Chris Hemsworth,670513664,7.8e+08,0.859632902564103
Victoria Profeta,92902,1.4e+07,0.00663585714285714
Michael Bergin,0,1250000,0
Amy Weber,0,1250000,0
Vernon Wells,0,1250000,0
Brian O'Halloran,48277694,10400000,4.64208596153846
Jeff Anderson,48277694,1e+07,4.8277694
Rosario Dawson,519830088,615600000,0.844428343079922
Elizabeth Banks,829893977,501700000,1.65416379708989
Ioan Gruffudd,338182002,280200000,1.20693077087794
Dakota Fanning,837237797,579500000,1.44475892493529
Ewan McGregor,1516462331,1362100000,1.1133267241759
Tom Sizemore,217277490,1.91e+08,1.13757848167539
Mary McCormack,146030625,9e+07,1.6225625
Anjelica Huston,242718657,2.02e+08,1.20157750990099
Ethan Hawke,437907020,285700000,1.53275120756038
Billy Crystal,761390595,4.48e+08,1.699532578125
Mary Gibbs,289907418,1.15e+08,2.52093406956522
Billy Bob Thornton,386694005,438500000,0.881856339794755
Michael Badalucco,7494849,2e+07,0.37474245
Brad Pitt,1908741608,1.728e+09,1.10459583796296
Julia Roberts,1187055314,900500000,1.31821800555247
Jake Gyllenhaal,827016913,768500000,1.07614432400781
Jena Malone,20259633,24500000,0.826923795918367
Mary McDonnell,727883,4500000,0.161751777777778
Nicole Kidman,602185891,939300000,0.641100703715533
Christopher Eccleston,105318971,6.2e+07,1.69869308064516
Fionnula Flanagan,175071502,4.5e+07,3.89047782222222
Scott Glenn,76261036,4.5e+07,1.69468968888889
Antonio Banderas,949663774,8.67e+08,1.09534460668973
Daniel Radcliffe,2094862920,8.24e+08,2.54230936893204
Rupert Grint,2086818549,7.8e+08,2.67540839615385
Richard Harris,317557891,1.25e+08,2.540463128
John Cameron Mitchell,3029081,6e+06,0.504846833333333
Miriam Shor,3056382,6e+06,0.509397
Stephen Trask,3029081,6e+06,0.504846833333333
John Cusack,883836410,842720000,1.04879012008734
Kate Beckinsale,769587970,608500000,1.26472961380444
Jeremy Piven,159779916,8.9e+07,1.79527995505618
Halle Berry,1075301279,1006795000,1.0680439205598
Martin Landau,27920762,7.7e+07,0.362607298701299
Bob Balaban,27796042,7.2e+07,0.386056138888889
Franka Potente,350455220,1.65e+08,2.12397103030303
Anton Yelchin,184470577,3.12e+08,0.591251849358974
Tim Robbins,346901149,2.16e+08,1.60602383796296
Rhys Ifans,262726539,2.3e+08,1.1422893
Steve Zahn,127896644,1.47e+08,0.870045197278912
Jude Law,1375751791,1.282e+09,1.07312932215289
John Leguizamo,780220910,521800000,1.49524896512074
Taylor Simpson,62505928,8e+06,7.813241
Liev Schreiber,600221988,595400000,1.00809873698354
Hayden Christensen,869603528,403600000,2.15461726461843
Jon Voight,280156892,2.75e+08,1.01875233454545
Iain Glen,153304268,125600000,1.22057538216561
David Caruso,373967,1500000,0.249311333333333
Stephen Gevedon,373967,1500000,0.249311333333333
Paul Guilfoyle,373967,1500000,0.249311333333333
Jason Isaacs,157038340,343500000,0.457171295487627
Mike Myers,1608906539,7.69e+08,2.09220616254876
Greg Stebner,7496522,2.6e+07,0.288327769230769
Christina Ricci,158478682,2.66e+08,0.595784518796992
Jonathan Rhys Meyers,78862692,1.31e+08,0.602005282442748
Naomi Watts,563408407,541050000,1.04132410498106
Laura Harring,14634374,5.5e+07,0.266079527272727
Jamie Foxx,1304675107,1.394e+09,0.935921884505022
Michael J. Fox,148773153,2.4e+08,0.6198881375
Jim Varney,84037039,1.2e+08,0.700308658333333
Corey Burton,84037039,1.25e+08,0.672296312
Owen Wilson,1641611633,1384500000,1.18570721054532
Gabriel Macht,153148879,2.47e+08,0.620035947368421
Jennifer Aniston,1385738702,738500000,1.87642342857143
Whoopi Goldberg,146876200,4.8e+07,3.05992083333333
Helena Bonham Carter,677729670,452450000,1.4979106420599
Matthew Kimbrough,21973182,2.3e+07,0.955355739130435
Joseph Fiennes,95357053,2.44e+08,0.390807594262295
Sam Neill,366132103,1.63e+08,2.2462092208589
Julianne Moore,816591810,858365000,0.951334001269856
Robert Redford,76138745,204600000,0.372134628543499
Laurence Fishburne,562826966,5.01e+08,1.12340711776447
David Hyde Pierce,36790526,1.13e+08,0.325579876106195
James Gandolfini,142161793,175600000,0.809577408883827
Jason Mewes,30222977,35400000,0.853756412429378
Kevin Smith,60598722,2.2e+07,2.75448736363636
Jack Nicholson,662354835,4.1e+08,1.61549959756098
Patricia Clarkson,206554638,191100000,1.08087199372057
Shannon Elizabeth,158655559,6.1e+07,2.60091080327869
Jay Hernandez,78117208,5.3e+07,1.47390958490566
Alan Arkin,190285412,147500000,1.29007058983051
John Turturro,287553835,284500000,1.01073404217926
Joseph Gordon-Levitt,638608820,502504000,1.27085320713865
Shane Brolly,63712423,1.03e+08,0.618567213592233
Gary Sinise,18699868,1.3e+08,0.143845138461538
Jack Black,1199077680,1.007e+09,1.19074248262165
Jason Alexander,70836296,4e+07,1.7709074
Julie Andrews,203394209,7.7e+07,2.64148323376623
Anne Hathaway,2021128274,1193500000,1.69344639631336
Hector Elizondo,108244774,3.7e+07,2.92553443243243
Alec Baldwin,753799557,774200000,0.973649647377938
Jeff Goldblum,93501393,7e+07,1.33573418571429
Orlando Jones,132523149,1.3e+08,1.01940883846154
Velizar Binev,507443,5e+06,0.1014886
David Chandler,507443,5e+06,0.1014886
Balthazar Getty,1096037,3200000,0.3425115625
Molly Parker,1096037,1e+07,0.1096037
Nastassja Kinski,7562474,9.3e+07,0.0813169247311828
Scarlett Johansson,1437476684,905500000,1.58749495748205
Greg Kinnear,562166250,5.09e+08,1.10445235756385
Jackie Chan,803463440,6.54e+08,1.22853737003058
Chris Tucker,366219304,2.3e+08,1.59225784347826
John Lone,226138454,9e+07,2.51264948888889
Tim Allen,985810311,5.22e+08,1.8885255
Julie Bowen,81928596,8.8e+07,0.931006772727273
Kelly Lynch,22770864,3.8e+07,0.599233263157895
Antony Acker,71277420,4.5e+07,1.58394266666667
Rob Schneider,327666273,1.64e+08,1.99796507926829
Colleen Haskell,55762229,2.2e+07,2.53464677272727
John C. McGinley,105394187,2.2e+07,4.79064486363636
Sean Patrick Thomas,101177530,4.8e+07,2.10786520833333
Kerry Washington,203768812,116650000,1.74683936562366
Matt Dillon,158612361,114500000,1.38526079475983
Bridgette Wilson-Sampras,60400856,3.5e+07,1.72573874285714
Brittany Daniel,27087695,17700000,1.53037824858757
Dennis Miller,27087695,17700000,1.53037824858757
Swoosie Kurtz,5002310,1.3e+07,0.384793076923077
Marley Shelton,40783521,4.1e+07,0.994720024390244
Robert Wisdom,936005,5e+06,0.187201
Alexa PenaVega,333433475,141800000,2.35143494358251
Daryl Sabara,310244271,112100000,2.76756709188225
Carla Gugino,1025851232,7.56e+08,1.35694607407407
Delroy Lindo,124138940,1.22e+08,1.01753229508197
Edward Burns,55329032,204259000,0.27087683774032
Kelsey Grammer,88213957,1.87e+08,0.471732390374332
Vincent Cassel,150211473,6.8e+07,2.20899225
Brittany Murphy,483203248,268800000,1.79763113095238
Diane Lane,402967810,2.54e+08,1.58648744094488
Alyssa Milano,22734486,1.7e+07,1.33732270588235
Chazz Palminteri,81158826,4.7e+07,1.72678353191489
