director,mean_gross,mean_budget,number_of_movies,profit_ratio
Steven Brill,51339203.4,47250000,5,1.08654398730159
Steven C. Miller,9672,50000,4,0.19344
Steven Knight,698189.5,2e+07,2,0.034909475
Steven Quale,42575718,4e+07,1,1.06439295
Steven Shainberg,2133825.5,10400000,2,0.205175528846154
Steven Soderbergh,57894136.5384615,40335714.2857143,14,1.4353070861315
Steven Spielberg,130708771.545455,94272727.2727273,11,1.38649613018323
Steven Zaillian,7221458,5.5e+07,1,0.131299236363636
Stewart Hendler,11956207,13333333.3333333,3,0.896715525000002
"Stig Bergqvist,Paul Demeyer",76501438,3e+07,1,2.55004793333333
Stuart Baird,43119879,6e+07,1,0.71866465
Stuart Beattie,19059018,6.5e+07,1,0.293215661538462
Stuart Gordon,99384.5,7500000,2,0.0132512666666667
Stuart Townsend,223537,8e+06,1,0.027942125
Susan Stroman,19377727,4.5e+07,1,0.430616155555556
Susanne Bier,1512723.5,2.3e+07,2,0.0657705869565217
Sydney Pollack,72515360,8e+07,1,0.906442
Sylvain White,42442088,19500000,3,2.17651733333333
Sylvester Stallone,71991714.6666667,51333333.3333333,3,1.402436
Takashi Shimizu,74659855,1.5e+07,2,4.97732366666667
Tarsem Singh,52999535.5,64333333.3333333,4,0.823826976683938
Tate Taylor,123308371.333333,26666666.6666667,3,4.62406392499998
Taylor Hackford,16781272.3333333,41666666.6666667,3,0.402750535999999
Ted Demme,52937130,3e+07,1,1.764571
Ted Koland,1842,1500000,1,0.001228
Tennyson Bardwell,38846,185000,2,0.209978378378378
Terrence Malick,8867235,3.1e+07,3,0.286039838709677
Terry George,101440,1.1e+07,1,0.00922181818181818
Terry Gilliam,19059538,48250000,2,0.395016331606218
Terry Zwigoff,31677277.5,1.8e+07,2,1.75984875
Thomas Bezucha,9914952.66666667,18500000,3,0.535943387387388
Thomas Carter,62806443.6666667,19333333.3333333,3,3.24860915517242
Thor Freudenthal,68527744.6666667,46666666.6666667,3,1.46845167142857
Ti West,62399.6666666667,5130000,5,0.0121636777128005
Tim Blake Nelson,5530951.66666667,6333333.33333333,3,0.873308157894738
Tim Burton,113572793.222222,85444444.4444444,9,1.32920044083225
"Tim Burton,Mike Johnson",53337608,4e+07,1,1.3334402
Tim Chambers,1889522,7e+06,1,0.269931714285714
Tim Hill,87680975.6666667,3.6e+07,3,2.43558265740741
"Tim Johnson,Karey Kirkpatrick",155019340,8e+07,1,1.93774175
Tim McCanlies,41407470,3e+07,2,1.380249
Tim Story,93193257.6666667,54833333.3333333,6,1.6995730881459
Timothy Hines,14616,1.2e+07,1,0.001218
Timur Bekmambetov,86042429,7.2e+07,2,1.19503373611111
Todd Field,25765560.6666667,9800000,3,2.62913884353742
Todd Graff,12584554.6666667,22500000,3,0.559313540740742
Todd Haynes,9928054.5,16750000,2,0.592719671641791
Todd Lincoln,4930798,1.7e+07,2,0.290046941176471
Todd Louiso,147769,1e+06,2,0.147769
Todd Phillips,121554572.555556,51955555.5555556,9,2.33958758126605
Todd Solondz,600150,2e+06,7,0.300075
Todd Stephens,379076,5e+05,2,0.758152
Todd Strauss-Schulson,35033759,1.9e+07,1,1.84388205263158
Tom Brady,19812422.8,1e+07,5,1.98124228
Tom Dey,53416799.3333333,61666666.6666667,3,0.866218367567567
Tom DiCillo,162304,5e+06,2,0.0324608
Tom Ford,9166863,7e+06,1,1.30955185714286
Tom Gormican,26049082,8e+06,1,3.25613525
Tom Hanks,35565975,3e+07,1,1.1855325
Tom Hooper,148775460,6.1e+07,2,2.43894196721311
Tom Kalin,434417,4600000,2,0.0944384782608696
Tom McCarthy,8194740,5e+05,3,16.38948
Tom McGrath,148337537,1.3e+08,2,1.14105797692308
Tom Putnam,27696,9e+06,1,0.00307733333333333
Tom Shadyac,171439635,1.28e+08,2,1.3393721484375
"Tom Tykwer,Lana Wachowski",27098580,1.02e+08,1,0.265672352941176
Tom Vaughan,46065803,3.3e+07,4,1.39593342424242
Tommy Lee Jones,4158477.66666667,15333333.3333333,3,0.271205065217392
Tommy O'Haver,17236968,19666666.6666667,3,0.876455999999998
Tommy Wirkola,55682070,5e+07,1,1.1136414
Tony Bill,13082288,6e+07,1,0.218038133333333
Tony Gilroy,67583511.3333333,7e+07,3,0.965478733333333
Tony Goldwyn,13125108.5,1.7e+07,4,0.772065205882353
Tony Scott,51872301.4285714,80285714.2857143,7,0.64609628113879
Trent Cooper,15655665,4e+06,2,3.91391625
Trey Parker,32774834,3e+07,1,1.09249446666667
Trish Sie,14897580,4.5e+07,1,0.331057333333333
Troy Duffy,10269307,8e+06,1,1.283663375
Troy Miller,26096584,1.9e+07,1,1.37350442105263
Tuck Tucker,13684949,3e+06,1,4.56164966666667
Tyler Perry,49178923.0769231,14625000,13,3.3626614069691
Udayan Prasad,317040,15500000,1,0.0204541935483871
Uli Edel,13555988,2.2e+07,1,0.616181272727273
Uwe Boll,6920319.4,22833526.2792313,8,0.303077120693991
Vadim Perelman,6654462,11500000,2,0.578648869565217
Vic Armstrong,13998282,1.6e+07,1,0.874892625
Vicky Jenson,6373693,1.5e+07,1,0.424912866666667
Victor Salva,1055654,1e+07,4,0.1055654
Vincent Gallo,365734,1e+07,1,0.0365734
Vincenzo Natali,16999046,2.6e+07,2,0.653809461538462
Vlad Yudin,849521,5e+06,2,0.1699042
Vondie Curtis-Hall,12795783,2.2e+07,2,0.5816265
Wallace Wolodarsky,10198766,1.2e+07,1,0.849897166666667
Wally Pfister,23014504,1e+08,1,0.23014504
Walt Becker,79564320.3333333,20500000,4,3.88118635772358
Walter Hill,10455423.3333333,43333333.3333333,3,0.241278999999999
Walter Salles,17221229,28333333.3333333,3,0.607808082352942
Wayne Beach,1181197,15500000,1,0.0762062580645161
Wayne Kramer,5184388.66666667,13066666.6666667,3,0.396764438775509
Wayne Wang,23735030.4285714,3.8e+07,8,0.624606063909774
Werner Herzog,2303322.4,8500000,7,0.270979105882353
Wes Anderson,35639445.1666667,28250000,6,1.26157328023599
Wes Ball,102413606,3.4e+07,1,3.01216488235294
Wes Craven,43821292.8,33200000,5,1.31991845783133
Wil Shriner,8080116,1.5e+07,1,0.5386744
"Will Finn,Daniel St. Pierre",8460990,7e+07,1,0.120871285714286
"Will Finn,John Sanford",50026353,1.1e+08,1,0.454785027272727
Will Gluck,60651606.6,38600000,5,1.57128514507772
William Brent Bell,38161674.5,5e+06,2,7.6323349
William Dear,1089445,12500000,3,0.0871556
William Friedkin,21308740.2,28200000,5,0.755629085106383
William H. Macy,37440,5e+06,1,0.007488
William Malone,13208023,4.2e+07,2,0.314476738095238
Wolfgang Petersen,96941925.5,167500000,2,0.578757764179105
Woody Allen,16182146.4705882,17164285.7142857,17,0.942780069031356
Wych Kaosayananda,14294842,7e+07,1,0.204212028571429
Xavier Gens,13243842.6666667,1e+07,3,1.32438426666667
Zach Braff,15185077.5,4250000,2,3.57295941176471
"Zach Cregger,Trevor Moore",4542775,6e+06,1,0.757129166666667
Zach Helm,32059442,6.5e+07,1,0.493222184615385
Zack Snyder,140234504,116400000,5,1.20476378006873
Zak Penn,114669,5400000,3,0.021235
Zoe R. Cassavetes,955625,2e+06,1,0.4778125
NA,24937512.7080745,11538017.3955079,1695,2.16133429628763
