director,mean_gross,mean_budget,number_of_movies
Andrew Wilding,NaN,NaN,1
"Andrew Wilson,Luke Wilson",127144,8e+06,1
Andrzej Bartkowiak,35821900,33200000,5
"Andy Bichlbaum,Mike Bonanno",189506,NaN,1
Andy Cadiff,12189514,2.3e+07,1
Andy Cheng,6877133,2.6e+07,1
Andy Fickman,58879108.4,30400000,5
Andy Garcia,2483955,9600000,2
Andy Hurst,NaN,1e+07,1
Andy Tennant,104953522,6e+07,3
Ang Lee,86892122.25,75250000,4
Angel Gracia,3016244,NaN,1
Angela Ismailos,17921,NaN,2
Angela Liu,NaN,NaN,1
Angela Robinson,33049398.5,17840000,3
Angelina Jolie Pitt,57952642.5,26166666.6666667,3
Angus MacLachlan,NaN,NaN,1
Anja Marquardt,900,NaN,1
"Anna Boden,Ryan Fleck",3715990,8e+06,4
Anne Fletcher,85780846.5,30500000,4
Anne Renton,107721,NaN,2
Annette Haywood-Carter,36746,5e+06,1
"Anthony Bell,Ben Gluck",25077977,2e+07,1
Anthony Burns,11108,3e+06,3
Anthony C. Ferrante,NaN,NaN,1
Anthony DiBlasi,1678,NaN,2
Anthony Geffen,873594,NaN,1
Anthony Hemingway,49875589,5.8e+07,1
Anthony Hopkins,6273,NaN,1
Anthony Leondis,19528188,2.5e+07,1
Anthony Minghella,48280787,7.9e+07,2
Anthony O'Brien,NaN,2100000,1
"Anthony Russo,Joe Russo",111895084.666667,78666666.6666667,3
Anthony Waller,NaN,2.2e+07,1
Anthony Wonke,NaN,NaN,2
Antoine Fuqua,52608636,56875000,9
Anton Corbijn,26416735.5,17500000,4
Antonio Campos,11954.5,NaN,2
Antonio Negret,NaN,5e+06,2
Antti Jokinen,NaN,2e+07,1
Ari Kirschenbaum,25918,NaN,1
Aric Avelino,24030,NaN,1
Arie Posin,49526,6800000,1
Ariel Vromen,1939441,7500000,2
Armand Mastroianni,1036886,1e+07,1
"Aron Gaudet,Gita Pullapilly",28116,NaN,1
Artie Mandelberg,NaN,2e+06,1
Asger Leth,18600911,4.2e+07,1
"Asger Leth,Milos Loncarevic",48752,NaN,1
Ash Adams,NaN,NaN,1
Ash Christian,NaN,NaN,2
Atom Egoyan,3074838,1.1e+07,2
Atsushi Takeuchi,NaN,NaN,1
Audrey Wells,43601508,1.8e+07,1
Audu Paden,NaN,NaN,1
Austin Chick,11762,3400000,1
Ava DuVernay,26072015,6750000,3
Azazel Jacobs,653578,NaN,2
Baltasar Kormákur,47355251.6666667,3.2e+07,3
"Barbara Brancaccio,Joshua Zeman",35456,NaN,1
"Barbara Kopple,Cecilia Peck",1207325,NaN,1
Barbara Schroeder,NaN,75000,1
Barbara Stepansky,NaN,NaN,1
Barbara Toennies,NaN,NaN,1
Barbet Schroeder,31874869,5e+07,1
Barra Grant,NaN,2e+06,1
Barrett Blade,NaN,NaN,1
Barry Battles,NaN,4e+06,1
Barry Jenkins,110869,13000,1
Barry Levinson,12697026.75,20200000,5
Barry Sonnenfeld,112025995,117500000,4
Barry W. Blaustein,17717621.5,NaN,2
Bart Freundlich,6110133,9666666.66666667,4
Basel Owies,NaN,NaN,1
Baz Luhrmann,101099582.5,78750000,2
Ben Affleck,96128087.25,36250000,4
"Ben Chace,Sam Fleischner",NaN,NaN,1
Ben Coccio,7221,20000,1
"Ben Cotner,Ryan White",NaN,NaN,1
"Ben Cummings,Orson Cummings",NaN,NaN,1
Ben Falcone,84518155,2e+07,1
Ben Gluck,NaN,NaN,1
Ben Ketai,NaN,NaN,1
Ben Lewin,5997134,1e+06,1
Ben Ramsey,NaN,3700000,1
Ben Rock,NaN,NaN,1
"Ben Safdie,Joshua Safdie",60252.6666666667,NaN,3
Ben Shapiro,58978,NaN,1
Ben Stassen,14532946,2.5e+07,1
Ben Stiller,84322911,9.1e+07,2
Ben Younger,19833102,8e+06,2
Benh Zeitlin,12784397,1800000,1
"Benjamin Nolot,Matt Dickey",NaN,NaN,1
Bennett Davlin,NaN,3500000,1
Bennett Miller,38816454,2.7e+07,3
Benny Boom,10017041,5500000,2
Benson Lee,NaN,NaN,1
Bent Hamer,808221,1e+06,2
Bernard Rose,NaN,6e+05,1
"Bernie Goldmann,Melisa Wallack",59108,NaN,1
Bertrand Tavernier,NaN,NaN,1
Bess Kargman,894471,NaN,2
Beth Schacter,NaN,NaN,1
Bette Gordon,22878,1e+06,2
Betty Thomas,99219525,45333333.3333333,3
Bharat Nalluri,NaN,1e+07,1
"Bibo Bergeron,Don Paul",50802661,9.5e+07,1
"Bibo Bergeron,Vicky Jenson",160762022,7.5e+07,1
Bill Bannerman,NaN,NaN,1
"Bill Boyce,John Stronach",938232,1e+07,1
Bill Condon,138076414.2,67800000,5
Bill Duke,10572742,8e+06,1
"Bill Guttentag,Dan Sturman",160140,NaN,1
Bill Maher,168972,NaN,2
Bill Paxton,15331289,NaN,1
Bill Plympton,NaN,125000,3
Bill Sebastian,NaN,50000,1
Bill Tangeman,NaN,1000,1
Bill Zebub,NaN,NaN,2
Bille Woodruff,28534595,18333333.3333333,4
Billy Bob Thornton,7770750.5,5.7e+07,2
Billy Kent,NaN,5e+06,1
Billy Ray,12458263.3333333,6e+06,3
Bix Skahill,NaN,NaN,1
"Blaine Cade,J. Horton",NaN,25000,1
Blair Hayes,5002310,1.3e+07,1
Blair Treu,405182,2500000,1
Blayne Weaver,20915,NaN,1
"Bo Landin,Sterling Van Wagenen",NaN,NaN,1
Bo Welch,100446895,1.09e+08,1
Bo Zenga,NaN,NaN,1
Boaz Yakin,56563598,26666666.6666667,3
"Bob Badway,Michael Emanuel",NaN,NaN,1
Bob Clark,9109322,2e+07,1
Bob Dolman,21664518.5,1e+07,2
Bob Fugger,NaN,1750000,1
Bob Giraldi,110000,NaN,1
Bob Gosse,1425993,NaN,1
Bob Misiorowski,NaN,1.8e+07,2
Bob Odenkirk,2757370.5,1e+07,2
Bob Rafelson,NaN,1.2e+07,1
"Bobbie Birleffi,Beverly Kopf",15461,NaN,1
"Bobby Farrelly,Peter Farrelly",49708126.2,4.8e+07,10
Bobby Roe,NaN,NaN,1
Bobcat Goldthwait,91254.75,NaN,4
Borga Dorter,NaN,10600,1
Brad Anderson,10595849.8,8625000,6
Brad Bernstein,33428,NaN,1
Brad Bird,235401249.5,118500000,2
Brad Furman,57981889,26933333.3333333,3
Brad Gann,6900,3e+06,1
Brad Peyton,73693978.5,8.2e+07,2
Brad Silberling,43732896.25,8.7e+07,4
Brad Turner,NaN,NaN,1
Bradley King,NaN,NaN,1
Bradley Raymond,NaN,4.8e+07,3
Bradley Rust Gray,12873,NaN,2
