name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,general_rating_user,contentRatingLevel,year,profit_ratio
10 Items or Less ,"6.7 based on 12,762 user ratings",2007-02-08,Brad Silberling,"Morgan Freeman,Paz Vega,Jonah Hill",54,58,71,NA,"actor,research,job-interview,interview,driver","Comedy,Drama",Rated R for language,USA,"English,Spanish",NA,35929(USA),81416,82,Color,1.85:1,6.7,12762,R,2007,NA
The Guardian ,"6.8 based on 75,175 user ratings",2006-09-29,Andrew Davis,"Kevin Costner,Ashton Kutcher,Sela Ward",53,281,137,2,"rescue,swimmer,u.s.-coast-guard,team,training","Action,Adventure,Drama",NA,USA,English,7e+07,18006064(USA),54983983,139,Color,1.85:1,6.8,75175,NA,2006,0.785485471428571
Loose Change: Second Edition ,"7.2 based on 4,553 user ratings",2005-12-11,Dylan Avery,NA,NA,102,4,NA,"911-conspiracy-theory,low-budget,amateur-video-maker,based-on-supposedly-true-story,conspiracy","Documentary,History,Mystery",NA,USA,English,5000,NA,NA,NA,Color,1.85:1,7.2,4553,NA,2005,NA
Old Joy ,"6.7 based on 4,410 user ratings",2007-01-26,NA,NA,84,57,88,NA,"sexual-ambiguity,oregon,title-directed-by-female,male-frontal-nudity,cell-phone",Drama,NA,USA,English,3e+05,3310(USA),255352,76,Color,1.66:1,6.7,4410,NA,2007,0.851173333333333
Fur: An Imaginary Portrait of Diane Arbus ,"6.5 based on 13,229 user ratings",2006-10-20,Steven Shainberg,"Nicole Kidman,Robert Downey Jr.,Ty Burrell",50,97,105,NA,"male-full-frontal-nudity,photographer,diane-arbus,character-name-in-title,pubic-hair","Biography,Drama,Romance","Rated R for graphic nudity, some sexuality and language",USA,English,16800000,28815(USA),220914,122,Color,1.85:1,6.5,13229,R,2006,0.0131496428571429
The Curiosity of Chance ,"6.8 based on 2,261 user ratings",2006-10-21,Russell P. Marleau,"Tad Hilgenbrink,Brett Chukerman,Aldevina Da Silva",NA,19,7,NA,"school,high-school,jock,bully,gay-teenager",Comedy,NA,"Belgium,USA",English,NA,NA,NA,105,Color,NA,6.8,2261,NA,2006,NA
Yellow ,5.2 based on 833 user ratings,2007-06-07,Alfredo Rodriguez de Villa,"Roselyn Sanchez,Bill Duke,D.B. Sweeney",NA,7,6,NA,"puerto-rico,dancer,ballet,pizza-delivery,one-word-title","Drama,Music,Romance","Rated R for sexuality, nudity and language","Puerto Rico,USA","English,Spanish",7e+06,NA,NA,NA,Color,2.35:1,5.2,833,R,2007,NA
The Dead Girl ,"6.7 based on 12,295 user ratings",2007-04-26,Karen Moncrieff,"Toni Collette,Brittany Murphy,Marcia Gay Harden",65,73,85,NA,"girl,morgue,dead-girl,granddaughter,storage-unit","Crime,Drama,Mystery","Rated R for language, grisly images and sexuality/nudity",USA,English,NA,4789(USA),17311,93,Color,1.85:1,6.7,12295,R,2007,NA
The Darwin Awards ,"6.0 based on 8,657 user ratings",2006-07-05,NA,NA,NA,38,30,NA,"voice-over-narration,shower,sex,kitchen,flashback","Adventure,Comedy,Romance","Rated R for language, violent images, some sexuality and drug use",USA,English,NA,NA,NA,94,Color,1.85:1,6,8657,R,2006,NA
Jonestown: The Life and Death of Peoples Temple ,"7.9 based on 3,798 user ratings",2006-04-26,Stanley Nelson,"Rebecca Moore,Janet Shular,Tim Carter",79,25,30,NA,"suicide,preacher,mass-suicide,guyana,greedy-institution","Documentary,History",NA,USA,English,NA,NA,NA,86,Color,1.85:1,7.9,3798,NA,2006,NA
Curious George ,"6.6 based on 12,829 user ratings",2006-02-10,Matthew O'Callaghan,"Will Ferrell,Drew Barrymore,Eugene Levy",62,118,87,NA,"museum,hat,yellow,monkey,shrine","Animation,Adventure,Comedy,Family",NA,USA,English,5e+07,14703405(USA),58336565,86,Color,1.85:1,6.6,12829,NA,2006,1.1667313
Deja Vu ,"7.0 based on 241,846 user ratings",2006-11-22,Tony Scott,"Denzel Washington,Paula Patton,Jim Caviezel",59,405,202,1,"atf,surveillance,atf-agent,explosion,investigation","Action,Sci-Fi,Thriller","Rated PG-13 for intense sequences of violence and terror, disturbing images and some sensuality","USA,UK",English,7.5e+07,20574802(USA),64034835,126,Color,2.35:1,7,241846,PG-13,2006,0.8537978
The Ant Bully ,"5.9 based on 30,005 user ratings",2006-07-28,John A. Davis,"Paul Giamatti,Nicolas Cage,Julia Roberts",59,70,105,NA,"ant,sudden-change-in-size,punishment,shrinking,miniaturization","Animation,Adventure,Comedy,Family,Fantasy",Rated PG for some mild rude humor and action,USA,English,5e+07,8432465(USA),28133159,88,Color,1.85:1,5.9,30005,PG,2006,0.56266318
The Pink Panther ,"5.6 based on 65,384 user ratings",2006-02-10,Shawn Levy,"Steve Martin,Kevin Kline,Jean Reno",38,424,147,2,"soccer,pink-panther,diamond,france,investigation","Adventure,Comedy,Crime,Family,Mystery",Rated PG for occasional crude and suggestive humor and language,"USA,Czech Republic",English,6.5e+07,20220412(USA),82226474,93,Color,1.85:1,5.6,65384,PG,2006,1.26502267692308
The Butterfly Effect 2 ,"4.4 based on 29,250 user ratings",2006-08-10,John R. Leonetti,"Eric Lively,Erica Durance,Dustin Milligan",NA,115,29,NA,"sex-in-a-restroom,man-carries-a-woman,second-part,bare-chested-male,woman-wearing-black-lingerie","Sci-Fi,Thriller","Rated R for violence, sexuality and language",USA,English,NA,NA,NA,92,Color,NA,4.4,29250,R,2006,NA
Hollywoodland ,"6.5 based on 29,071 user ratings",2006-09-08,Allen Coulter,"Adrien Brody,Ben Affleck,Diane Lane",62,298,218,3,"death,hollywood,detective,actor,police","Biography,Crime,Drama,History,Mystery,Romance,Thriller","Rated R for language, some violence and sexual content",USA,"English,Spanish",NA,5926177(USA),14415222,126,Color,1.85:1,6.5,29071,R,2006,NA
300 ,"7.7 based on 606,341 user ratings",2007-03-09,Zack Snyder,"Gerard Butler,Lena Headey,David Wenham",52,2072,459,391,"spartan,greece,battle,warrior,epic","Action,Drama,Fantasy,War","Rated R for graphic battle sequences throughout, some sexuality and nudity",USA,English,6.5e+07,70885301(USA),210592590,117,Color,2.35:1,7.7,606341,R,2007,3.239886
World Trade Center ,"6.0 based on 67,326 user ratings",2006-08-09,Oliver Stone,"Nicolas Cage,Michael Peña,Maria Bello",66,564,242,2,"based-on-true-story,rescue,trapped,rubble,police","Drama,History,Thriller","Rated PG-13 for intense and emotional content, some disturbing images and language",USA,English,6.3e+07,18730762(USA),70236496,129,Color,1.85:1,6,67326,PG-13,2006,1.11486501587302
Who Killed the Electric Car? ,"7.7 based on 11,278 user ratings",2006-08-04,Chris Paine,"Martin Sheen,Tom Hanks,Mel Gibson",70,155,87,NA,"car,technology,california,reference-to-ralph-nader,u.s.-president",Documentary,Rated PG for brief mild language,USA,English,1e+06,45138(USA),1677838,92,Color,1.75:1,7.7,11278,PG,2006,1.677838
Facing the Giants ,"6.7 based on 12,368 user ratings",2006-09-29,Alex Kendrick,"Alex Kendrick,Shannen Fields,Jason McLeod",38,382,30,4,"coach,football,football-team,faith,christian","Drama,Sport",Rated PG for some thematic elements,USA,English,1e+05,1343537(USA),10174663,111,Color,1.85:1,6.7,12368,PG,2006,101.74663
The U.S. vs. John Lennon ,"7.4 based on 4,727 user ratings",2006-12-07,"David Leaf,John Scheinfeld","John Lennon,Yoko Ono,Stew Albert",64,57,102,NA,"briton-abroad,subversive,concert,peace,talking-head","Documentary,Biography,Music,Romance","Rated PG-13 for some strong language, violent images and drug references",USA,English,NA,69143(USA),1102937,99,Color,1.78:1,7.4,4727,PG-13,2006,NA
Factotum ,"6.6 based on 12,057 user ratings",2005-04-29,Bent Hamer,"Matt Dillon,Lili Taylor,Marisa Tomei",71,80,118,NA,"writing,money,gambling,drinking,writer","Comedy,Drama,Romance",NA,"Norway,USA,Germany,France,Italy",English,1e+06,£37100(UK),808221,94,Color,1.85:1,6.6,12057,NA,2005,0.808221
Basic Instinct 2 ,"4.2 based on 31,076 user ratings",2006-03-31,Michael Caton-Jones,"Sharon Stone,David Morrissey,David Thewlis",26,313,159,2,"psychiatrist,drugs,scotland-yard,sex,murder","Crime,Mystery,Thriller","Rated R for strong sexuality, nudity, violence, language and some drug content","UK,Germany,Spain,USA",English,7e+07,£487031(UK),5851188,114,Color,2.35:1,4.2,31076,R,2006,0.0835884
Loving Annabelle ,"6.7 based on 9,174 user ratings",2007-05-24,NA,NA,NA,75,14,NA,"older-woman-younger-woman-relationship,teacher,title-directed-by-female,sex-with-student,teacher-student-relationship","Drama,Romance",NA,USA,English,1e+06,NA,NA,76,Color,1.85:1,6.7,9174,NA,2007,NA
Smokin' Aces ,"6.7 based on 120,937 user ratings",2007-01-26,Joe Carnahan,"Jeremy Piven,Ryan Reynolds,Ray Liotta",45,482,186,907,"fbi,mafia,casino,mob-hit,sniper","Action,Crime,Drama,Thriller","Rated R for strong bloody violence, pervasive language, some nudity and drug use","UK,France,USA",English,1.7e+07,£1023862(UK),35635046,109,Color,2.35:1,6.7,120937,R,2007,2.09617917647059
Bambi II ,"6.1 based on 6,640 user ratings",2006-01-26,Brian Pimental,"Patrick Stewart,Alexander Gould,Keith Ferguson",NA,51,54,NA,"bambi,forest,raccoon,dog,betrayal","Animation,Drama,Family",NA,USA,English,NA,502777(Spain),NA,74,Color,1.78:1,6.1,6640,NA,2006,NA
Bordertown ,"6.1 based on 8,459 user ratings",2007-02-22,Gregory Nava,"Jennifer Lopez,Antonio Banderas,Maya Zapata",NA,51,35,NA,"factory,juarez,border,reporter,murder","Crime,Drama,Mystery,Thriller","Rated R for violence including a brutal rape, sexuality, nudity and language",USA,"English,Spanish",2.1e+07,NA,NA,112,Color,1.85:1,6.1,8459,R,2007,NA
"The Prize Winner of Defiance, Ohio ","7.3 based on 5,423 user ratings",2007-06-01,NA,NA,58,81,49,NA,"contest,commercial,prize,priest,money","Biography,Drama","Rated PG-13 for thematic elements, some disturbing images and language",USA,English,NA,159056(USA),626310,99,Color,1.85:1,7.3,5423,PG-13,2007,NA
Day Night Day Night ,"6.2 based on 1,891 user ratings",2007-04-04,Julia Loktev,"Luisa Williams,Josh Philip Weinstein,Gareth Saxe",61,29,46,NA,"bomber,backpack,suicide-bomber,bus,female-terrorist","Crime,Drama,Thriller",NA,"USA,Germany,France",English,NA,5457(USA),31777,94,Color,NA,6.2,1891,NA,2007,NA
The Hottest State ,"6.2 based on 2,400 user ratings",2007-03-23,Ethan Hawke,"Catalina Sandino Moreno,Laura Linney,Mark Webber",45,15,46,NA,"texas,actor,written-and-directed-by-cast-member,gift,tenement","Drama,Music,Romance",Rated R for sexual content and language,USA,English,NA,8524(USA),30629,117,Color,1.85:1,6.2,2400,R,2007,NA
Man of the Year ,"6.2 based on 27,976 user ratings",2006-10-13,Barry Levinson,"Robin Williams,Laura Linney,Lewis Black",39,236,110,4,"president,presidential-election,election,campaign,satire","Comedy,Drama,Romance,Thriller","Rated PG-13 for language including some crude sexual references, drug related material, and brief violence",USA,English,2e+07,12299380(USA),37442180,115,Color,2.35:1,6.2,27976,PG-13,2006,1.872109
Jesus Camp ,"7.5 based on 22,015 user ratings",2007-04-18,"Heidi Ewing,Rachel Grady","Mike Papantonio,Lou Engle,Becky Fischer",62,251,129,NA,"evangelical,christian,child,radio,summer-camp",Documentary,Rated PG-13 for some discussions of mature subject matter,USA,English,NA,17659(USA),901531,84,Color,1.37:1,7.5,22015,PG-13,2007,NA
John Tucker Must Die ,"5.8 based on 67,194 user ratings",2006-07-28,Betty Thomas,"Jesse Metcalfe,Ashanti,Arielle Kebbel",41,168,100,1,"school,dating,cheerleader,single-mother,popularity","Comedy,Romance",Rated PG-13 for sexual content and language,"USA,Canada","English,Japanese",1.8e+07,14276534(USA),41009669,89,Color,1.85:1,5.8,67194,PG-13,2006,2.27831494444444
Art School Confidential ,"6.3 based on 14,874 user ratings",2006-05-12,Terry Zwigoff,"Max Minghella,Sophia Myles,John Malkovich",54,133,97,NA,"love,drawing,suburb,competition,new-york-city","Comedy,Drama","Rated R for language including sexual references, nudity and a scene of violence",USA,English,NA,135733(USA),3296916,102,Color,1.85:1,6.3,14874,R,2006,NA
Lifted ,"8.0 based on 12,779 user ratings",2007-06-29,NA,NA,NA,88,13,NA,"alien,bedroom,sleeping-man,farmhouse,alien-abduction","Animation,Short,Family,Sci-Fi",NA,USA,None,NA,NA,NA,5,Color,1.85:1,8,12779,NA,2007,NA
Running with Scissors ,"6.2 based on 19,985 user ratings",2006-10-27,Ryan Murphy,"Joseph Cross,Annette Bening,Brian Cox",52,188,132,NA,"writer,fame,writing,alcoholic,therapist","Comedy,Drama","Rated R for strong language and elements of sexuality, violence and substance abuse",USA,English,1.2e+07,226108(USA),6754898,122,Color,2.35:1,6.2,19985,R,2006,0.562908166666667
Survival Island ,"5.0 based on 7,379 user ratings",2006-05-05,NA,NA,NA,51,22,NA,"sex-on-the-beach,erotica,orgasm,female-nudity,desert-island","Adventure,Drama,Horror,Thriller",NA,"USA,UK,Luxembourg","English,Spanish",9e+06,NA,NA,95,Color,NA,5,7379,NA,2006,NA
An American Haunting ,"5.0 based on 22,179 user ratings",2006-05-05,Courtney Solomon,"Donald Sutherland,Sissy Spacek,Rachel Hurd-Wood",38,747,125,NA,"flashback,voice-over-letter,year-1818,lifting-someone-into-the-air,paranormal-phenomena","Horror,Mystery,Thriller",Rated PG-13 for intense terror sequences and thematic material,"UK,Canada,Romania,USA",English,1.4e+07,£541446(UK),16298046,83,Color,2.35:1,5,22179,PG-13,2006,1.16414614285714
Gray Matters ,"5.8 based on 6,022 user ratings",2007-07-13,Sue Kramer,"Heather Graham,Tom Cavanagh,Bridget Moynahan",31,49,40,NA,"new-york-city,lesbianism,reference-to-oprah-winfrey,lesbian-kiss,lesbian-interest","Comedy,Romance","Rated PG-13 for some mature thematic material, sexual content and language",USA,English,NA,25711(USA),59619,96,Color,1.78:1,5.8,6022,PG-13,2007,NA
Stay Alive ,"5.1 based on 25,832 user ratings",2006-03-24,William Brent Bell,"Jon Foster,Samaire Armstrong,Frankie Muniz",24,281,112,4,"countess,group-of-friends,tower,ghost,game-reality-crossover","Horror,Thriller","Rated PG-13 for horror violence, disturbing images, language, brief sexual and drug content",USA,English,9e+06,10726406(USA),23078294,85,Color,2.35:1,5.1,25832,PG-13,2006,2.56425488888889
Eating Out 2: Sloppy Seconds ,"6.4 based on 3,053 user ratings",2007-07-05,NA,NA,39,20,23,NA,"ex-gay,model,gay,art,pretending-to-be-straight","Comedy,Romance",NA,USA,English,NA,NA,NA,NA,Color,1.85:1,6.4,3053,NA,2007,NA
Happy Tree Friends: Ski Patrol ,7.3 based on 52 user ratings,2006-04-12,Jason Sadler,"Ellen Connell,Warren Graff,Kenn Navarro",NA,NA,NA,NA,NA,"Animation,Comedy",NA,USA,English,NA,NA,NA,74,Color,NA,7.3,52,NA,2006,NA
What the Bleep!?: Down the Rabbit Hole ,"6.5 based on 2,222 user ratings",2006-03-23,NA,NA,45,29,15,NA,"sequel,reenactment,censored-profanity-in-title","Documentary,Drama",NA,USA,English,NA,24195(USA),135706,NA,Color,1.85:1,6.5,2222,NA,2006,NA
The Good German ,"6.1 based on 21,458 user ratings",2007-01-19,Steven Soderbergh,"George Clooney,Cate Blanchett,Tobey Maguire",49,174,183,NA,"driver,journalist,russian,american,secret","Drama,Mystery,Thriller","Rated R for language, violence and some sexual content",USA,"English,German,Russian",3.2e+07,76817(USA),1304837,105,Black and White,1.66:1,6.1,21458,R,2007,0.04077615625
Nacho Libre ,"5.7 based on 65,456 user ratings",2006-06-16,Jared Hess,"Jack Black,Ana de la Reguera,Héctor Jiménez",52,440,163,2,"monastery,lucha-libre,orphan,nun,wrestling","Comedy,Family,Sport","Rated PG for some rough action, and crude humor including dialogue","Germany,USA","English,Spanish",3.2e+07,28309599(USA),80197993,92,Color,1.85:1,5.7,65456,PG,2006,2.50618728125
Flicka ,"6.1 based on 6,089 user ratings",2006-10-20,Michael Mayer,"Alison Lohman,Tim McGraw,Maria Bello",57,76,46,NA,"ranch,horse,horse-ranch,wild-mustang,father-son-relationship","Adventure,Drama,Family",Rated PG for some mild language,"USA,UK",English,1.5e+07,7703551(USA),20998709,95,Color,2.35:1,6.1,6089,PG,2006,1.39991393333333
Serenity ,"8.0 based on 242,261 user ratings",2005-09-30,Joss Whedon,"Nathan Fillion,Gina Torres,Chiwetel Ejiofor",74,1593,276,834,"cannibalism,alliance,planet,operative,future","Action,Adventure,Sci-Fi,Thriller","Rated PG-13 for sequences of intense violence and action, and some sexual references",USA,"English,Mandarin",4e+07,10086680(USA),25335935,119,Color,2.35:1,8,242261,PG-13,2005,0.633398375
Just My Luck ,"5.3 based on 44,038 user ratings",2006-05-12,Donald Petrie,"Lindsay Lohan,Chris Pine,Samaire Armstrong",29,149,98,1,"luck,masquerade,bad-luck,kiss,band","Comedy,Fantasy,Romance",Rated PG-13 for some brief sexual references,USA,English,2.8e+07,5692285(USA),17324744,NA,Color,1.85:1,5.3,44038,PG-13,2006,0.618740857142857
The Wicker Man ,"3.7 based on 53,086 user ratings",2006-09-01,Neil LaBute,"Nicolas Cage,Ellen Burstyn,Leelee Sobieski",36,727,189,3,"island,girl,ritual,investigation,letter","Mystery,Thriller","Rated PG-13 for disturbing images and violence, language and thematic issues","USA,Germany,Canada",English,4e+07,£736316(UK),23643531,102,Color,2.35:1,3.7,53086,PG-13,2006,0.591088275
Marie Antoinette ,"6.4 based on 79,742 user ratings",2006-10-20,Sofia Coppola,"Kirsten Dunst,Jason Schwartzman,Rip Torn",65,619,260,1,"queen,france,versailles,austria,cake","Biography,Drama,History,Romance","Rated PG-13 for sexual content, partial nudity and innuendo","USA,France,Japan","English,Latin,French",4e+07,£283883(UK),15962471,123,Color,1.85:1,6.4,79742,PG-13,2006,0.399061775
Flushed Away ,"6.7 based on 84,890 user ratings",2006-11-03,"David Bowers,Sam Fell","Hugh Jackman,Kate Winslet,Ian McKellen",74,122,135,3,"sewer,toad,rat,boat,frog","Animation,Adventure,Comedy,Family",Rated PG for crude humor and some language,"UK,USA",English,1.49e+08,18814323(USA),64459316,85,Color,1.85:1,6.7,84890,PG,2006,0.432612859060403
Leroy & Stitch ,"6.2 based on 2,787 user ratings",2006-06-23,"Tony Craig,Roberts Gannaway","Daveigh Chase,Chris Sanders,David Ogden Stiers",NA,7,15,NA,"clone,alien,spaceship,fifth-part,sequel","Animation,Adventure,Family,Sci-Fi",NA,USA,English,NA,NA,NA,73,Color,NA,6.2,2787,NA,2006,NA
The King ,"6.6 based on 6,733 user ratings",2006-05-19,James Marsh,"Gael García Bernal,William Hurt,Laura Harring",58,65,78,NA,"brother-sister-incest,female-nudity,incest,pastor,seduction","Drama,Thriller","Rated R for strong sexuality involving a teen, some violence and language","USA,UK",English,NA,£33213(UK),281326,105,Color,2.35:1,6.6,6733,R,2006,NA
Boy Culture ,"6.9 based on 4,645 user ratings",2007-01-31,Q. Allan Brocka,"Derek Magyar,George Jonson,Patrick Bauchau",56,37,29,NA,"roommate,confession,flashback,self-loathing,flirting",Drama,NA,USA,English,5e+05,27835(USA),220151,NA,Color,1.85:1,6.9,4645,NA,2007,0.440302
The Nativity Story ,"6.8 based on 8,136 user ratings",2006-12-01,Catherine Hardwicke,"Keisha Castle-Hughes,Shohreh Aghdashloo,Oscar Isaac",52,203,122,NA,"bethlehem,nazareth,virgin,journey,angel","Drama,Family,Fantasy",Rated PG for some violent content,USA,English,3e+07,34367(NewZealand),37617947,101,Color,2.35:1,6.8,8136,PG,2006,1.25393156666667
Undisputed 2: Last Man Standing ,"7.1 based on 23,906 user ratings",2007-02-28,Isaac Florentine,"Michael Jai White,Scott Adkins,Ben Cross",NA,43,31,NA,"jail,sequel,second-part,blood-splatter,brazilian-jiu-jitsu","Action,Crime,Drama,Sport","Rated R for strong violence, language and some drug use",USA,English,5e+06,NA,NA,98,Color,1.85:1,7.1,23906,R,2007,NA
Failure to Launch ,"5.6 based on 58,310 user ratings",2006-03-10,Tom Dey,"Matthew McConaughey,Sarah Jessica Parker,Kathy Bates",47,242,143,3,"friend,intervention,moving,slacker,secret","Comedy,Romance","Rated PG-13 for sexual content, partial nudity and language",USA,English,5e+07,24411322(USA),88658172,97,Color,2.35:1,5.6,58310,PG-13,2006,1.77316344
Snakes on a Plane ,"5.6 based on 115,558 user ratings",2006-08-18,David R. Ellis,"Samuel L. Jackson,Julianna Margulies,Nathan Phillips",58,1033,285,1,"famous-line,baby-rattle,snake,murder,passenger","Action,Adventure,Crime,Drama,Thriller","Rated R for language, a scene of sexuality and drug use, and intense sequences of terror and violence","Germany,USA,Canada",English,3.3e+07,£1069608(UK),34014398,105,Color,2.35:1,5.6,115558,R,2006,1.03073933333333
Fuck ,"7.1 based on 4,003 user ratings",2007-11-10,Steve Anderson,"Drew Carey,Billy Connolly,Bill Maher",58,32,41,NA,"word,free-speech,f-word,interview,comedian",Documentary,NA,USA,English,NA,5299(USA),19791,93,Color,1.78:1,7.1,4003,NA,2007,NA
Tenacious D in The Pick of Destiny ,"6.8 based on 85,397 user ratings",2006-11-22,Liam Lynch,"Jack Black,Kyle Gass,JR Reed",55,198,122,2,"guitar,friendship,reference-to-led-zeppelin,venice-beach-california,bong","Adventure,Comedy,Music,Musical","Rated R for pervasive language, sexual content and drug use","USA,Germany",English,NA,3234879(USA),8319186,93,Color,1.85:1,6.8,85397,R,2006,NA
Copying Beethoven ,"6.8 based on 11,124 user ratings",2007-03-08,Agnieszka Holland,"Ed Harris,Diane Kruger,Matthew Goode",59,86,78,NA,"music-student,music-copyist,musical-composition,symphony,student","Biography,Drama,Music",Rated PG-13 for some sexual elements,"USA,Germany,Hungary",English,1.1e+07,70460(USA),352786,104,Color,2.35:1,6.8,11124,PG-13,2007,0.0320714545454545
Fabulous! The Story of Queer Cinema ,6.9 based on 503 user ratings,2006-04-07,NA,NA,NA,8,3,NA,"lesbian,gay,social-change,homosexual-history,homosexual-cinema",Documentary,NA,USA,English,NA,NA,NA,81,Color,NA,6.9,503,NA,2006,NA
Roving Mars ,7.4 based on 866 user ratings,2006-01-27,George Butler,"Paul Newman,Steve Squyres,Rob Manning",58,12,25,NA,"imax,galaxy,water,rock,mineral","Documentary,Short",NA,USA,English,NA,412337(USA),10399670,40,Color,1.44:1,7.4,866,NA,2006,NA
Creepshow 3 ,"3.0 based on 3,499 user ratings",2007-11-21,NA,NA,NA,77,92,NA,"radio,professor,anthology,prostitute,security-guard","Horror,Thriller","Rated R for bloody horror violence and gore, language, some drug use and sexual material",USA,"English,Spanish",NA,NA,NA,NA,Color,1.85:1,3,3499,R,2007,NA
The Omen ,"5.5 based on 48,740 user ratings",2006-06-06,John Moore,"Liev Schreiber,Julia Stiles,Seamus Davey-Fitzpatrick",43,548,227,4,"boy,priest,evil,observatory,comet","Fantasy,Horror,Mystery,Thriller","Rated R for disturbing violent content, graphic images and some language",USA,"English,Italian",2.5e+07,43578(NewZealand),54606189,110,Color,1.85:1,5.5,48740,R,2006,2.18424756
Material Girls ,"3.9 based on 19,164 user ratings",2006-08-18,NA,NA,17,93,57,NA,"cosmetics,wealth,credit-card,public-humiliation,towel","Comedy,Family,Romance",Rated PG for language and rude humor,USA,English,NA,4603121(USA),11441751,98,Color,2.35:1,3.9,19164,PG,2006,NA
Mater and the Ghostlight ,"6.7 based on 5,406 user ratings",2006-10-25,NA,NA,NA,8,12,NA,"light,junkyard,tow-truck,revenge,storytelling","Animation,Short,Family",NA,USA,English,NA,NA,NA,7,Color,NA,6.7,5406,NA,2006,NA
The Amateurs ,"6.3 based on 5,469 user ratings",2006-04-28,Michael Traeger,"Jeff Bridges,Ted Danson,Joe Pantoliano",45,50,33,NA,"small-town,loser,sex,wealth,friend",Comedy,Rated R for sexual content and language,"USA,Germany",English,NA,10149(USA),15090,96,Color,1.85:1,6.3,5469,R,2006,NA
End of the Spear ,"6.9 based on 4,356 user ratings",2006-01-20,Jim Hanon,"Louie Leonardo,Chad Allen,Jack Guzman",45,148,47,NA,"tribe,spear,missionary,speared-to-death,death","Adventure,Drama",Rated PG-13 for intense sequences of violence,USA,"English,Spanish",1e+07,4281388(USA),11703287,108,Color,2.35:1,6.9,4356,PG-13,2006,1.1703287
Big Momma's House 2 ,"4.6 based on 31,904 user ratings",2006-01-27,John Whitesell,"Martin Lawrence,Emily Procter,Nia Long",34,82,65,4,"undercover,fbi,nanny,fbi-agent,cheerleading","Comedy,Crime",Rated PG-13 for some sexual humor and a humorous drug reference,USA,English,4e+07,1685877(Spain),70163652,99,Color,1.85:1,4.6,31904,PG-13,2006,1.7540913
Bandidas ,"5.7 based on 28,802 user ratings",2006-01-18,"Joachim Rønning,Espen Sandberg","Penélope Cruz,Salma Hayek,Steve Zahn",NA,76,58,NA,"cleavage,female-gunfighter,bank,mexico,farmer","Action,Comedy,Crime,Western","Rated PG-13 for sexuality, nudity and violence","France,Mexico,USA","English,Spanish",NA,796693(France),NA,93,Color,2.35:1,5.7,28802,PG-13,2006,NA
East Side Story ,"6.7 based on 1,395 user ratings",2006-06-07,Carlos Portugal,"René Alvarado,David Berón,Gladise Jiminez",NA,20,7,NA,"chef,latino,restaurant,racism,gentrification","Comedy,Romance",NA,USA,"English,Spanish",5e+05,NA,NA,NA,Color,NA,6.7,1395,NA,2006,NA
The Naked Mile ,"5.1 based on 51,386 user ratings",2006-12-19,Joe Nussbaum,"John White,Eugene Levy,Jessy Schram",NA,88,28,NA,"virgin,college,high-school,school,college-campus",Comedy,"Rated R for pervasive strong sexual content and crude humor, nudity, language, drinking and some drug use - all involving teens","Canada,USA",English,NA,NA,NA,97,Color,1.85:1,5.1,51386,R,2006,NA
Air Buddies ,"4.9 based on 2,186 user ratings",2006-12-12,Robert Vince,"Cascy Beddow,Jane Carr,Kelly Chapek",NA,9,10,NA,"dog-movie,golden-retriever,dog,dog-actor,sequel","Comedy,Family",Rated PG for some mild rude humor,USA,English,9e+06,NA,NA,80,Color,1.33:1,4.9,2186,PG,2006,NA
Sherrybaby ,"6.6 based on 10,268 user ratings",2007-02-09,Laurie Collyer,"Maggie Gyllenhaal,Ryan Simpkins,Sam Bottoms",66,78,78,NA,"nipples-visible-through-clothing,orgasm,parole-officer,halfway-house,ex-convict",Drama,"Rated R for strong sexuality, nudity, language and drug content",USA,English,2e+06,34774(USA),198407,NA,Color,1.85:1,6.6,10268,R,2007,0.0992035
Stick It ,"6.4 based on 22,454 user ratings",2006-04-28,Jessica Bendinger,"Missy Peregrym,Jeff Bridges,Vanessa Lengies",53,124,90,1,"gymnastics,texas,houston-texas,coach,teenager","Comedy,Drama,Sport",Rated PG-13 for some crude remarks,"Germany,USA",English,NA,10803610(USA),26870825,103,Color,1.85:1,6.4,22454,PG-13,2006,NA
Wide Awake ,6.7 based on 523 user ratings,2006-01-20,NA,NA,NA,12,8,NA,NA,Documentary,NA,USA,English,NA,NA,NA,79,Color,NA,6.7,523,NA,2006,NA
Miami Vice ,"6.0 based on 92,734 user ratings",2006-07-28,Michael Mann,"Colin Farrell,Jamie Foxx,Li Gong",65,932,273,2,"police-investigation,police-detective,drug-deal,interracial-romance,exploding-trailer","Action,Crime,Thriller","Rated R for strong violence, language and some sexual content","USA,Germany,Paraguay,Uruguay","English,Spanish",1.35e+08,25723815(USA),63437595,134,Color,2.35:1,6,92734,R,2006,0.469908111111111
Outsourced ,"7.1 based on 9,768 user ratings",2007-11-29,NA,NA,70,66,60,NA,"train,india,call-center,kitsch,outsourcing","Comedy,Drama,Romance",Rated PG-13 for some sexual content,USA,"English,Hindi",NA,NA,NA,103,Color,1.85:1,7.1,9768,PG-13,2007,NA
