name,ratingValue,date,director,stars,metaScore,review_users,review_critcs,popularity,keywords,genres,contentRating,country,language,budget,opening_week,gross,runtime,color,asp,rating,general_rating_user,contentRatingLevel,year,profit_ratio
The Patriot ,"7.1 based on 207,296 user ratings",2000-06-28,Roland Emmerich,"Mel Gibson,Heath Ledger,Joely Richardson",63,1144,192,807,"british,american-revolution,hero,standoff,french","Action,Drama,History,War",Rated R for strong war violence,"USA,Germany",English,1.1e+08,22413710(USA),113330342,165,Color,2.35:1,7.1,207296,R,2000,1.03027583636364
X-Men ,"7.4 based on 451,826 user ratings",2000-07-14,Bryan Singer,"Patrick Stewart,Hugh Jackman,Ian McKellen",64,1401,290,376,"mutant,professor,superhero,superhero-team,first-part","Action,Adventure,Sci-Fi",Rated PG-13 for sci-fi action violence,USA,English,7.5e+07,54471475(USA),157299717,104,Color,2.35:1,7.4,451826,PG-13,2000,2.09732956
Men of Honor ,"7.2 based on 89,284 user ratings",2000-11-10,George Tillman Jr.,"Cuba Gooding Jr.,Robert De Niro,Charlize Theron",56,224,98,2,"navy,african-american,racism,amputee,racial-discrimination","Biography,Drama",Rated R for language,USA,English,3.2e+07,13339465(USA),48814909,129,Color,2.35:1,7.2,89284,R,2000,1.52546590625
Boiler Room ,"7.0 based on 41,263 user ratings",2000-02-18,Ben Younger,"Giovanni Ribisi,Vin Diesel,Nia Long",63,246,132,3,"stock,casino,judge,stock-broker,career","Crime,Drama,Thriller",Rated R for strong language and some drug content,USA,"English,Russian",8e+06,6722884(USA),16938179,120,Color,1.85:1,7,41263,R,2000,2.117272375
Traffic ,"7.6 based on 170,497 user ratings",2001-01-05,NA,NA,86,867,223,1,"judge,cocaine,mexico,interlinked-stories,drug-smuggling","Crime,Drama,Thriller","Rated R for pervasive drug content, strong language, violence and some sexuality","USA,Germany","English,Spanish",4.8e+07,15517549(USA),124107476,147,Color,1.85:1,7.6,170497,R,2001,2.58557241666667
U-571 ,"6.6 based on 65,226 user ratings",2000-04-21,Jonathan Mostow,"Matthew McConaughey,Bill Paxton,Harvey Keitel",62,602,178,3,"u-boat,submarine-movie,historically-inaccurate,world-war-two,battle","Action,War",Rated PG-13 for war violence,"France,USA","English,German",6.2e+07,19553310(USA),77086030,116,Color,2.35:1,6.6,65226,PG-13,2000,1.24332306451613
Small Time Crooks ,"6.7 based on 31,121 user ratings",2000-05-19,Woody Allen,"Woody Allen,Tracey Ullman,Hugh Grant",69,192,128,NA,"crook,three-word-title,new-york-city,written-and-directed-by-cast-member,apartment-building","Comedy,Crime",Rated PG for language,USA,English,1.8e+07,3880723(USA),17071230,94,Color,1.85:1,6.7,31121,PG,2000,0.948401666666667
Vertical Limit ,"5.9 based on 49,476 user ratings",2000-12-08,NA,NA,48,379,134,4,"rescue,k2,death,die-hard-scenario,urination","Action,Adventure,Drama,Thriller",Rated PG-13 for intense life/death situations and brief strong language,"USA,Germany","English,Urdu",7.5e+07,15507845(USA),68473360,124,Color,1.85:1,5.9,49476,PG-13,2000,0.912978133333333
Finding Forrester ,"7.3 based on 72,935 user ratings",2001-01-12,Gus Van Sant,"Sean Connery,Rob Brown,F. Murray Abraham",62,297,137,4,"school,writing,basketball,new-york,mentor",Drama,Rated PG-13 for brief strong language and some sexual references,USA,"English,German",4.3e+07,701207(USA),51768623,136,Color,2.35:1,7.3,72935,PG-13,2001,1.20392146511628
The Perfect Storm ,"6.4 based on 132,919 user ratings",2000-06-30,NA,NA,59,779,231,1,"storm,fish,fishing,sea,death","Action,Adventure,Drama,Thriller",Rated PG-13 for language and scenes of peril,USA,English,1.4e+08,41325042(USA),182618434,130,Color,2.35:1,6.4,132919,PG-13,2000,1.30441738571429
