actor,gross,budget,num
Bridget Fonda,5409517,7.5e+07,1
Dr. Dre,10097096,4e+06,1
Snoop Dogg,105605077,8e+07,3
Anthony Albano,10097096,4e+06,1
Nick Loren,45207112,5.3e+07,1
James Lashly,45207112,5.3e+07,1
Jake Lloyd,0,0,0
Michael T. Weiss,7307756,1.6e+07,1
Alex D. Linz,17292381,1.2e+07,1
Jamie Kennedy,34309810,97500000,3
Julie Walters,0,0,0
Geraldine James,0,0,0
Kiefer Sutherland,176115793,2.98e+08,5
Ciarán McMenamin,0,0,0
Steven Seagal,67120136,4.6e+07,2
Chris Kattan,23978402,1.1e+07,1
Peter Falk,36377030,3.1e+07,2
Vinessa Shaw,30275366,3.5e+07,3
Paul Hogan,25590119,21150000,1
Linda Kozlowski,25590119,21150000,1
Jere Burns,25590119,21150000,1
Tara Reid,55940516,6.2e+07,4
Cameron Bancroft,0,0,0
Bob Burnquist,0,0,0
Mariah Carey,4289351,2.6e+07,2
Eric Benét,4273372,2.2e+07,1
Max Beesley,4273372,2.2e+07,1
Roxanne Chadwick,0,0,0
Azlyn Farros,0,0,0
Jade Kim,0,0,0
AlexSandra Wright,28734552,1.6e+07,1
Tyrese Gibson,599780585,3.58e+08,5
Taraji P. Henson,320144099,96200000,6
Olivia Williams,96869265,2.3e+08,3
John Shrapnel,33565,3e+07,1
Warren Beatty,6712451,9e+07,1
Julie Davis,119664,5e+05,1
Nick Chinlund,18620630,30500000,2
Caroline Aaron,119664,5e+05,1
Sofia Milos,0,0,0
Charlton Heston,21244913,4e+06,1
Thorsten Kaye,0,0,0
Nikita Ager,0,0,0
Dan Metcalfe,0,0,0
Francie Swift,97000,2e+06,1
Flex Alexander,13903262,1.1e+07,1
David Denman,74425359,1.41e+08,2
A.J. Cook,13909365,12600000,2
Jason Connery,0,0,0
Tobias Mehler,0,0,0
William Hope,0,0,0
Emma Samms,0,0,0
Shlomo Ashkinazy,0,0,0
Steve Greenberg,0,0,0
Nathan Lopes Cardozo,0,0,0
Duong Don,0,0,0
Alan Rickman,110514330,1.18e+08,6
Natasha Richardson,95481379,7.1e+07,2
Rachel Griffiths,75597042,2e+07,1
Jeff Fahey,0,0,0
Josh Holloway,0,0,0
Colm Feore,93344812,1.6e+08,2
Ann Magnuson,0,0,0
Allen Lee Haff,0,0,0
Leah Rowan,0,0,0
Guy Vieg,0,0,0
Kaleil Isaza Tuzman,0,0,0
Tom Herman,0,0,0
Kenneth Austin,0,0,0
Rodney Rowland,0,0,0
Kristanna Loken,150350192,2e+08,1
Alexander Enberg,0,0,0
Wes Bentley,30433031,1.15e+08,6
Bryan Cranston,566633083,3.89e+08,5
Edie Mirman,0,0,0
Tom Wyner,0,0,0
Stephen Ingle,0,0,0
Rene M. Rigal,0,0,0
Elizabeth Lackey,0,0,0
Mark Sheppard,0,0,0
Steve Anderson,0,0,0
Briana Shipley,0,0,0
Andrew Fugate,0,0,0
Mary-Kate Olsen,69728156,6.4e+07,3
Ashley Olsen,14018364,3e+07,1
Brandon Tyler,0,0,0
Kevin Zegers,9013113,1e+06,1
Dale Midkiff,0,0,0
David Glyn-Jones,0,0,0
Chris Cooper,291872805,249700000,9
Tom Hanks,1834335265,1.41e+09,19
Meryl Streep,1194618004,8.79e+08,19
Catherine Zeta-Jones,397555332,3.28e+08,6
Robert Duvall,298530645,361500000,9
Gabriela Oltean,71026631,3.6e+07,1
Samantha Morton,135202524,131500000,4
Edward Norton,576515079,599400000,13
Tyler Hoechlin,104054514,8e+07,1
Rob Maxey,104054514,8e+07,1
Daniel Day-Lewis,320488699,271500000,5
Olivier Martinez,52752475,5e+07,1
Al Pacino,223746576,3.59e+08,13
Michael Moore,164853819,1.9e+07,3
Marilyn Manson,21244913,4e+06,1
Maggie Gyllenhaal,156273804,1.7e+08,5
Jeremy Davies,9531112,1.4e+07,2
Dennis Haysbert,15854988,13500000,1
Jodie Foster,452324706,3.91e+08,7
Kristen Stewart,1732076229,736500000,17
Ralph Fiennes,281666111,2.06e+08,5
Milla Jovovich,347092963,3.97e+08,12
Ryan McCluskey,39532308,3.3e+07,1
Emile Hirsch,450003515,390500000,14
Joel Gretsch,14060950,12500000,1
James Cromwell,73215310,8e+07,1
Daniel Studi,73215310,8e+07,1
Johnny Knoxville,431030354,2.05e+08,7
Bam Margera,181492168,2.5e+07,2
Chris Pontius,67804729,1.9e+07,3
Asia Argento,141204016,7e+07,1
Marton Csokas,242734754,1.25e+08,2
Emma Watson,1599497340,7.96e+08,9
Jason Statham,367325290,5.47e+08,14
Qi Shu,25296447,2.1e+07,1
Matt Schulze,25296447,2.1e+07,1
Rip Torn,206749572,1.96e+08,4
Rachel Roberts,0,0,0
Nia Vardalos,266826403,6.2e+07,5
John Corbett,252059866,4.3e+07,4
Michael Constantine,241437427,5e+06,1
Yancey Arias,56684819,8e+07,1
Sam Spruell,35168677,1e+08,1
Peter Stebbings,35168677,1e+08,1
Julianna Margulies,77435138,8e+07,4
Gabriel Byrne,50217178,6.6e+07,3
Ron Eldard,43084801,5e+07,2
Adam Beach,40911830,1.15e+08,1
Emma Thompson,511607889,4.41e+08,6
Martin Short,157906218,1.91e+08,3
Daveigh Chase,145771527,8e+07,1
Chris Sanders,145771527,8e+07,1
Tia Carrere,145771527,8e+07,1
J.D. Evermore,75597042,2e+07,1
Rachel McAdams,1008272831,5.09e+08,17
Madeleine Stowe,78120196,7.5e+07,1
Rory Culkin,236534549,85300000,6
Deborah Rush,14015786,5e+06,1
Natascha McElhone,28178061,8.9e+07,2
Ulrich Tukur,14970038,4.7e+07,1
Angela Bettis,145540,5e+05,1
Jason Schwartzman,53838518,103500000,5
Adrien Brody,338605540,427500000,12
Illeana Douglas,0,0,0
Connie Nielsen,131879285,1.61e+08,5
Michael Vartan,114528432,7.2e+07,2
Campbell Scott,2290187,1.4e+07,2
Jesse Eisenberg,605684097,476600000,13
Isabella Rossellini,0,0,0
Marlon Brando,132026,3e+06,1
Elton John,132026,3e+06,1
Julia Louis-Dreyfus,35205602,1.9e+07,3
Kris Kristofferson,134042541,1.19e+08,2
Ron Perlman,293243634,654500000,16
Christopher Gorham,4720371,7e+06,1
Joe Folau,4720371,7e+06,1
James Coburn,81150692,3.5e+07,1
Tim Matheson,21005329,6e+06,1
Ian Mongrain,118471320,6.8e+07,1
Jonathan Frakes,43119879,6e+07,1
Brent Spiner,43119879,6e+07,1
Jennifer Hale,0,0,0
Steve Oedekerk,16033556,1e+07,1
Fei Lung,16033556,1e+07,1
Leo Lee,16033556,1e+07,1
James Urbaniak,0,0,0
Dwayne Johnson,1776544075,1.426e+09,19
Steven Brand,90341670,6e+07,1
Michael Clarke Duncan,99083931,7.8e+07,2
James Van Der Beek,13051524,8e+06,2
Ian Somerhalder,13074578,9e+06,3
Shannyn Sossamon,87433998,8.2e+07,6
Evan Rachel Wood,114649417,152500000,10
Michael Angarano,89398472,96400000,5
David Gallagher,405182,2500000,1
Geena Davis,64736114,1.2e+08,1
Hugh Laurie,184569628,3.3e+08,3
Derek Luke,140032690,1.6e+08,7
Joy Bryant,99866290,95500000,3
Frank Welker,0,0,0
Charlie Schlatter,0,0,0
Rosamund Pike,687377217,5.34e+08,6
Do Thi Hai Yen,12987647,3e+07,1
Ving Rhames,202852277,2.93e+08,7
Parry Shen,3799339,250000,1
Jason Tobin,3799339,250000,1
Sung Kang,3852189,750000,2
Justin Herwick,0,0,0
B. Wyatt,0,0,0
Shane Powers,0,0,0
Nick Cannon,56398162,2e+07,1
Zoe Saldana,1211383467,607700000,9
Kimberley Kates,0,0,0
Stuart Townsend,96770404,1.13e+08,2
Marguerite Moreau,30325921,35500000,2
Colin Hanks,117968157,7.9e+07,4
Schuyler Fisk,41032915,1.8e+07,1
Martin Henderson,149756020,8.8e+07,2
Brian Cox,193233619,93600000,5
Beyoncé Knowles,530567236,2.8e+08,6
Seth Green,342385626,2.72e+08,5
Izabella Scorupco,84875429,1.1e+08,2
Aaron Eckhart,1005825351,782950000,18
Jeremy Northam,25175161,1.05e+08,2
Shad Moss,167239346,1.4e+08,3
Morris Chestnut,186608690,1.38e+08,7
Courtney Love,62536,3e+07,1
Lauren Hays,0,0,0
Rafe Urquhart,0,0,0
Tony Menke,0,0,0
Travis Michael Holder,0,0,0
Sigmond Winston,0,0,0
Adam Browne,0,0,0
Jeff Daniels,286416102,248500000,9
Amara Balthrop-Lewis,119841,1500000,1
Kevin Pollak,34756284,53500000,2
Aidan Quinn,119841,1500000,1
Billy Campbell,39177215,3.8e+07,1
Tessa Allen,39177215,3.8e+07,1
Kari Wuhrer,17266505,3e+07,1
Scott Terra,17266505,3e+07,1
Paulo Costanzo,37939782,1.7e+07,1
Tony Shalhoub,14448589,4e+07,1
Cathy Cavadini,11411644,1.1e+07,1
Tara Strong,11411644,1.1e+07,1
Rab Affleck,0,0,0
Marc Akerstream,0,0,0
Ian Bannen,0,0,0
Dustin Hoffman,192878092,2.59e+08,6
Susan Sarandon,388858016,354500000,11
Kyra Sedgwick,140524842,36125000,3
Parker Posey,95085841,102125000,6
Fairuza Balk,765540,125000,1
David Eigenberg,35228696,3.2e+07,1
Matthew Lillard,308461125,2.13e+08,4
Sarah Michelle Gellar,348235254,2.28e+08,7
Ryan O'Neal,121972,2.2e+07,1
Christina Applegate,247863671,2.76e+08,8
Cree Summer,0,0,0
Sigourney Weaver,1038685128,403300000,10
Aaron Stanford,5776886,2e+06,3
Kate Mara,101094945,158300000,6
Francesca Neri,40048332,8.5e+07,1
Val Kilmer,29189379,158500000,9
Adam Goldberg,106484218,6.8e+07,2
Kate Bosworth,351289493,336930000,9
Ray Liotta,213406470,2.95e+08,12
Jason Patric,10482242,10500000,2
Chi McBride,87492368,67500000,2
Jesse Bradford,65619954,4.1e+07,3
French Stewart,36985501,2.6e+07,1
Paula Garcés,36985501,2.6e+07,1
Taye Diggs,56440259,4.8e+07,2
Dominique Swain,0,0,0
Mia Kirshner,0,0,0
Robert Evans,0,0,0
Eddie Albert,0,0,0
Peter Bart,0,0,0
Kieran Culkin,33273554,7.2e+07,2
John Carroll Lynch,887416,1e+07,1
Segun Ajaga,0,0,0
Stephen Rea,13275175,4.7e+07,2
James Franco,748117438,753400000,17
Yasiin Bey,185553392,2.12e+08,9
Luciana Pedraza,0,0,0
Rubén Blades,0,0,0
Laura Morante,0,0,0
Juan Diego Botto,0,0,0
Scott Speedman,237002356,1.28e+08,7
Miguel A. Núñez Jr.,13571817,15600000,1
Christopher Simmons,13571817,15600000,1
Vivica A. Fox,13571817,15600000,1
Skeet Ulrich,1063723,1e+07,1
Angela Arenivar,0,0,0
Ubaldo Arenivar,0,0,0
Jorge Arenivar,0,0,0
Elizabeth Mitchell,223723730,7.2e+07,2
Bruce Greenwood,249782642,1.8e+08,3
David Crow,0,0,0
Terry Gilliam,0,0,0
Henry Kissinger,0,0,0
Anna Chennault,0,0,0
DJ Qualls,28972187,1.3e+07,1
Lyle Lovett,28972187,1.3e+07,1
Eliza Dushku,29001971,1.5e+07,2
Dean Winters,0,0,0
Ashley Laurence,0,0,0
Doug Bradley,0,0,0
Mike Epps,86073387,6.5e+07,4
John Witherspoon,32983713,2e+07,1
Goldie Hawn,30306281,1e+07,1
Charlie Hunnam,112575829,2.37e+08,4
Annie Morgan,211724,1e+06,1
Kathy Bates,309568498,1.68e+08,5
Denis Leary,553220891,2.65e+08,3
America Ferrera,70651495,5.2e+07,4
Ingrid Oliu,5844929,3e+06,1
Busta Rhymes,30259652,1.5e+07,1
Brad Loree,30259652,1.5e+07,1
Elizabeth Ammann,0,0,0
Will Sexton,0,0,0
Brian Stampfl,0,0,0
Trey Bosworth,0,0,0
Lavelle Higgins,0,0,0
Erika Christensen,57713625,57500000,3
Shiri Appleby,28563926,8500000,1
Jackie Sandler,23443124,3.4e+07,1
Meredith Eaton,0,0,0
Stanley Kubrick,0,0,0
Matt Battaglia,15361537,1.3e+07,1
Barry Watson,56561884,3.2e+07,2
Harland Williams,10198766,1.2e+07,1
Michael Rosenbaum,10198766,1.2e+07,1
Maria Bello,352593342,347200000,11
Wayne Henderson,0,0,0
Taj Mahal,0,0,0
Charles S. Dutton,40168080,2.6e+07,1
Polly Walker,0,0,0
Talisa Soto,14294842,7e+07,1
Jeffrey Ballard,0,0,0
Jay Brazeau,0,0,0
Jason Bryden,0,0,0
Christopher Nolan,0,0,0
Damien Midkiff,0,0,0
Ryan Honey,0,0,0
Lane Anderson,0,0,0
Bill Bellamy,0,0,0
Joe Hunter,0,0,0
Jack Ashford,0,0,0
Uriel Jones,0,0,0
Jimi Mistry,3034181,1.1e+07,1
Matthew Perry,114334176,1.18e+08,4
Bruce Campbell,159076777,1.61e+08,5
Anthony Quinn,0,0,0
Horatio Sanz,8586376,2e+07,1
Roselyn Sanchez,78597449,3.2e+07,2
Anna Paquin,22356355,43100000,4
Steven Spielberg,0,0,0
Melissa Mathison,0,0,0
Lili Taylor,1616442,2e+06,2
Pamela Z,0,0,0
Jim Lange,0,0,0
Leslie Danon,0,0,0
Jay Mohr,8418008,1.15e+08,2
Randy Quaid,4411102,1e+08,1
Craig Bierko,243051811,1.78e+08,3
Linda Halaska,0,0,0
Phil Vischer,38273231,2.9e+07,2
Mike Nawrocki,38273231,2.9e+07,2
Tim Hodge,38273231,2.9e+07,2
Jean Reno,367758420,3.9e+08,5
LL Cool J,63008169,157500000,4
Mira Sorvino,13719830,9800000,4
Melora Walters,23947,1.3e+07,1
Jason Lee,570483342,3.18e+08,5
Tom Green,13973532,2.5e+07,1
Leslie Mann,283402624,2.08e+08,6
Spencer Klein,13684949,3e+06,1
Francesca Marie Smith,13684949,3e+06,1
Jamil Walker Smith,13684949,3e+06,1
Timm Sharp,0,0,0
Patrick Breen,0,0,0
Steve Irwin,28399192,1.3e+07,1
Terri Irwin,28399192,1.3e+07,1
Magda Szubanski,28399192,1.3e+07,1
Jon Bon Jovi,0,0,0
Cristián de la Fuente,0,0,0
Natasha Gregson Wagner,0,0,0
Dana Carvey,40363530,1.6e+07,1
Jennifer Esposito,40363530,1.6e+07,1
Harold Gould,40363530,1.6e+07,1
Terry Ray,0,0,0
Bryan Dattilo,0,0,0
Jennifer Echols,0,0,0
Diedrich Bader,53647104,5.5e+07,2
Candy Ford,16988996,3.5e+07,1
Tomas Arana,0,0,0
Lindze Letherman,0,0,0
Rachel Skarsten,0,0,0
Martin Donovan,20146,6e+06,1
Anthony Arkin,0,0,0
Marla Sucharetza,0,0,0
Scott Mosier,0,0,0
Angie Everhart,0,0,0
Catalina Larranaga,0,0,0
Daniel Baldwin,0,0,0
Angela Bassett,62160052,42200000,3
Edie Falco,16720800,45965000,5
Alex Lewis,3064356,5600000,1
James Russo,0,0,0
Theresa Russell,0,0,0
Sean Young,0,0,0
Greg O'Neil,0,0,0
Nathan West,64371181,2.8e+07,1
Ashley Tesoro,0,0,0
Sarah Jessica Parker,577578450,5.24e+08,10
Harry Connick Jr.,149666930,7.9e+07,4
Julien Hernandez,0,0,0
Marisa Petroro,0,0,0
Seth Macari,0,0,0
Uma Thurman,232395581,2.08e+08,7
David Carradine,136674356,7.6e+07,4
Daryl Hannah,70098138,3e+07,1
Alison Lohman,65991167,6.6e+07,4
Albert Brooks,436698745,1.79e+08,4
Ellen DeGeneres,380838870,9.4e+07,1
Alexander Gould,380838870,9.4e+07,1
Bill Murray,206337968,270700000,10
Bruce Dern,92056322,70500000,7
Rachel Weisz,559297958,6.99e+08,11
Peter Dinklage,6912145,13500000,2
Bobby Cannavale,5739376,5e+05,1
Clayton Watson,0,0,0
Akio Ôtsuka,0,0,0
Pamela Adlon,0,0,0
Ken Watanabe,373465202,3.75e+08,3
Billy Connolly,399124436,4.43e+08,5
Paul Bettany,279607399,3.86e+08,5
Billy Boyd,93926386,1.5e+08,1
Albert Finney,87881321,1.41e+08,4
Ben Kingsley,263585844,6.06e+08,12
Orlando Bloom,1554697158,1.333e+09,8
Elias McConnell,1227000,3e+06,1
Alex Frost,34080640,4.3e+07,2
Eric Deulen,1227000,3e+06,1
Ben Tibber,0,0,0
Joan Plowright,0,0,0
Arnold Friedman,0,0,0
Jesse Friedman,0,0,0
David Friedman,0,0,0
Heather Locklear,53169965,4.5e+07,2
Vincent Gallo,1242434,2e+07,3
Cheryl Tiegs,365734,1e+07,1
Monica Bellucci,94622686,2.27e+08,4
Eric Bana,505868457,6.73e+08,10
Sam Elliott,307085765,3.63e+08,4
Joan Cusack,670658365,5.45e+08,5
Robert McNamara,0,0,0
John F. Kennedy,0,0,0
Fidel Castro,0,0,0
Gabrielle Union,315919350,2.95e+08,8
Lindsay Lohan,335017066,1.68e+08,7
Mark Harmon,122411952,4.9e+07,2
Stephen Lang,12870569,5.6e+07,1
Peta Wilson,66462600,7.8e+07,1
Sean Astin,37808836,20300000,3
Philippa Boyens,0,0,0
Patrick Curry,0,0,0
Holly Hunter,286459465,128500000,3
Nikki Reed,4744567,13500000,3
Malcolm McDowell,96216559,6e+07,4
Diego Luna,122619514,9.7e+07,3
Debra Winger,52277485,3.5e+07,1
Bridget Moynahan,254509185,2.05e+08,3
Amanda Bynes,139781689,64500000,4
Colin Firth,207759751,284100000,8
Kelly Preston,125044693,1.05e+08,4
Jessica Alba,415596574,437850000,12
Hugh Dancy,22913677,3.5e+07,1
Chris Barrie,65653758,9.5e+07,1
Tommy Wiseau,0,0,0
Juliette Danielle,0,0,0
Greg Sestero,0,0,0
Jeremy Suarez,170658496,2.56e+08,2
Rick Moranis,170658496,2.56e+08,2
Shari Springer Berman,0,0,0
Harvey Pekar,0,0,0
Raoul Bova,123882604,7.8e+07,2
Sandra Oh,44609470,18950000,2
Oliver Platt,4720368,6e+05,2
Clive Owen,337512386,4.64e+08,10
Linus Roache,4426297,3.5e+07,1
Paul Schneider,6498405,14500000,2
Bonnie Hunt,221184076,1e+08,2
Hilary Duff,343104675,1.97e+08,8
Wes Ramsey,1639878,1700000,2
Steve Sandvoss,1639878,1700000,2
Brandy Snow,0,0,0
Shannon Tweed,0,0,0
Richard Roeper,0,0,0
Alyson Hannigan,201447361,9.5e+07,3
Bernie Mac,187608502,118200000,4
Lauren Graham,164581369,2.13e+08,3
Robert Downey Jr.,3275642809,1896500000,21
Ashton Kutcher,670888830,5.99e+08,14
Christian Kane,57190885,2.8e+07,2
Shia LaBeouf,1816138227,1029700000,12
Jonathan Caouette,1184028,436,2
Renee Leblanc,1184028,436,2
Adolph Davis,1184028,436,2
Corbin Allred,1310270,780000,1
Alexander Polinsky,1310270,780000,1
Kirby Heyborne,1310270,780000,1
Jennifer Garner,616254122,438500000,15
David Paymer,14208384,3e+07,1
Mark Gonzales,0,0,0
Lauren Curry,0,0,0
Rico Bueno,0,0,0
Jeremy Sumpter,96835700,2e+08,2
Eva Mendes,524108127,475500000,12
Charlie Sheen,142014371,6.8e+07,2
Regina Hall,340045256,150500000,4
Lori Johnston,17040711,1.3e+07,1
Lewis Abernathy,17040711,1.3e+07,1
Valentina de Angelis,0,0,0
Ben Stiller,2603264889,1.754e+09,22
Eileen Essell,9652000,4e+07,1
James Caan,173585169,5.7e+07,3
Bob Newhart,173381405,3.3e+07,1
Stockard Channing,0,0,0
Aileen Wuornos,0,0,0
Nick Broomfield,0,0,0
Terry Humphreys-Slay,0,0,0
Jon Favreau,259096878,1.23e+08,3
Joey Lauren Adams,0,0,0
Romeo Miller,60445280,5e+07,2
Liam Neeson,749133586,1066500000,22
Howard Hall,0,0,0
Michele Hall,0,0,0
Adam Brody,213584341,1.46e+08,3
Joey Kern,0,0,0
Mike Vogel,80034302,2.5e+07,1
John Fiedler,23073611,3.5e+07,1
Crispin Glover,120757445,2.02e+08,3
R. Lee Ermey,6852144,2.2e+07,1
Macaulay Culkin,296665,5e+06,1
Wilson Cruz,296665,5e+06,1
Larenz Tate,26183197,3.6e+07,1
Mark Dacascos,34604054,3e+07,1
Chaney Kley,32131483,1.1e+07,1
Emma Caulfield,32131483,1.1e+07,1
Antony Burrows,32131483,1.1e+07,1
Kimberly Brooks,0,0,0
Kelly Ripa,0,0,0
Paul Rudd,833904062,549250000,14
Gretchen Mol,732241,4e+06,1
Adam Lamberg,42672630,1.7e+07,1
Clayton Snyder,42672630,1.7e+07,1
Duel Farnes,1420578,1900000,1
Nick Nolte,46651403,54900000,5
Anthony Edwards,1513478,6900000,2
Cal Robertson,7221,20000,1
Andre Keuck,7221,20000,1
Serataren Adragna,7221,20000,1
Brenda Fricker,3139836,3.4e+07,2
Estella Warren,66734992,6e+07,1
Jennifer Tilly,159891413,2.25e+08,5
Tantoo Cardinal,0,0,0
Eve Ensler,0,0,0
Blanchard Ryan,61001764,1e+06,2
Daniel Travis,61001764,1e+06,2
Saul Stein,61001764,1e+06,2
Yun-Fat Chow,33446499,1.87e+08,4
Jaime King,23020488,5.2e+07,1
Allyce Beasley,0,0,0
Klee Bragger,0,0,0
Susan Tom,0,0,0
Anthony Tom,0,0,0
Faith Tom,0,0,0
Derek Richardson,26096584,1.9e+07,1
Eric Christian Olsen,43327875,3.9e+07,2
Joseph Ashton,0,0,0
Dave Matthews,0,0,0
Renee Faia,0,0,0
Biana Tamimi,0,0,0
Richard Romanus,0,0,0
Patrick Elyas,0,0,0
Mark Hildreth,0,0,0
Jenna Elfman,20950820,8e+07,1
Lawrence Taylor,0,0,0
Lloyd Battista,0,0,0
Richard Lutz,0,0,0
Justin Bartha,676283244,3.25e+08,6
Laird John Hamilton,0,0,0
Layne Beachley,0,0,0
Dan Malloy,0,0,0
James Arnold Taylor,0,0,0
John Mahoney,0,0,0
Queen Latifah,339286388,2.06e+08,8
Elden Henson,279282,1e+06,1
Eduardo Verástegui,87254684,36600000,3
Sofía Vergara,0,0,0
Elaine Hendrix,0,0,0
Tony Martin,0,0,0
Chandler Kane Kelly,0,0,0
John de Lancie,0,0,0
Charles Busch,0,0,0
Natasha Lyonne,0,0,0
Jason Priestley,0,0,0
Jeff Garlin,327955670,2.4e+08,2
Bob Dylan,0,0,0
Mandy Moore,292164556,370200000,7
Trent Ford,28217036,3.2e+07,2
Dylan Baker,28217036,3.2e+07,2
Madonna Wayne Gacy,0,0,0
John 5,0,0,0
Lynn Whitfield,101019752,41200000,2
Jodi Carlisle,39399750,2.5e+07,1
Lacey Chabert,55663884,3.5e+07,3
Jane Scarlett,0,0,0
Sergio Jones,0,0,0
Clark Beasley Jr.,0,0,0
Rhona Mitra,92792110,1e+08,4
Frankie Faison,0,0,0
David Sutcliffe,6103,1600000,1
Celina Font,0,0,0
Lorenzo Lamas,0,0,0
Simmone Mackinnon,0,0,0
Jeffrey Gorman,0,0,0
Kam Heskin,0,0,0
Orlando Seale,0,0,0
Lucila Solá,0,0,0
Andreas Bichlbauer,0,0,0
Mike Bonanno,0,0,0
Andy Bichlbaum,0,0,0
Jennifer Kroll,0,0,0
Jason Scott Lee,0,0,0
Craig Sheffer,0,0,0
Jonathan Cherry,20398708,1.4e+07,2
Tyron Leitso,20398708,1.4e+07,2
Clint Howard,20398708,1.4e+07,2
Jasper Bel,0,0,0
Cassidy Field,0,0,0
Jason Jacen,0,0,0
Lance Henriksen,80281096,6e+07,1
Karl Geary,0,0,0
Alexis Dziena,0,0,0
Don Dixon,0,0,0
Daniel Letterle,0,0,0
Joanna Chilcoat,0,0,0
Andy Richter,15549702,1.4e+07,1
Scott Prendergast,0,0,0
Patricia Buckley,0,0,0
Bryan Carmel,0,0,0
Janine Eser,0,0,0
John Lynch,0,0,0
Rick Rubin,0,0,0
Tommy Ramone,0,0,0
Dee Dee Ramone,0,0,0
Benjamin Fletcher,3713002,8e+06,1
Nicole Frilot,3713002,8e+06,1
Roxanne Frilot,3713002,8e+06,1
Jason Michas,0,0,0
Andrew Francis,0,0,0
Scott McNeil,0,0,0
Christina Milian,19118247,4e+07,1
Jordan Burg,0,0,0
Alexandra Breckenridge,0,0,0
Shanti Lowry,0,0,0
Tammy Lynn Michaels,0,0,0
Richard Benjamin,1646664,2e+07,1
Mary Steenburgen,384819234,193500000,5
Claire Danes,45594119,1.12e+08,3
Lee Evans,22108977,4.1e+07,1
David H. Stevens,0,0,0
Jimmy Stevens,0,0,0
Kristin Dattilo,0,0,0
Clayton Rohner,0,0,0
Michael Lowry,0,0,0
Thomas Ian Griffith,0,0,0
Mary Page Keller,0,0,0
Aviva Gale,0,0,0
Julia Ormond,7516914,19500000,3
Philippe Volter,0,0,0
Bentley Mitchum,0,0,0
Michael Anthony Rosas,0,0,0
Selia Hansen,0,0,0
David Shepherd,0,0,0
Aaron Renning,0,0,0
Tom Savini,0,0,0
Brian Bremer,0,0,0
Melanie Parker,0,0,0
Kelly Clarkson,4922166,1.2e+07,1
Justin Guarini,4922166,1.2e+07,1
Katherine Bailess,4922166,1.2e+07,1
Minnie Driver,14705740,1.2e+07,2
Tupac Shakur,0,0,0
Rappin' 4-Tay,0,0,0
Conrad Bain,0,0,0
Dean Cochran,0,0,0
Alan Austin,0,0,0
Eli Danker,0,0,0
Edmund Bacon,0,0,0
Edwina Pattison Daniels,0,0,0
Balkrishna Doshi,0,0,0
John Livingston,0,0,0
Sabrina Lloyd,0,0,0
C. Thomas Howell,0,0,0
Julie Delpy,13907329,5700000,2
Vernon Dobtcheff,5792822,2700000,1
Gena Rowlands,1019911,3.1e+07,2
James Garner,64286,2.9e+07,1
Jennifer Love Hewitt,75367693,3.5e+07,1
Paul Nicholls,0,0,0
Thomas Haden Church,255546179,1.14e+08,5
Virginia Madsen,177304065,1.2e+08,5
Emmy Rossum,298621218,3.55e+08,3
Brady Corbet,0,0,0
Michael Madsen,66786178,36400000,3
Christian Slater,29554110,178200000,8
Maia Morgenstern,499263,3e+07,1
George W. Bush,119598374,6900000,2
Diane Kruger,587771416,3.86e+08,7
Craig T. Nelson,261437578,9.2e+07,1
Julie Christie,103353212,5e+07,2
Michael Gambon,7739049,1.8e+07,1
Trey Parker,32774834,3e+07,1
Matt Stone,32774834,3e+07,1
Elle Russ,32774834,3e+07,1
Chris O'Donnell,53790363,9.6e+07,2
Jeffrey Tambor,85416609,3e+07,1
Rodger Bumpass,85416609,3e+07,1
Carolyn Lawrence,85416609,3e+07,1
William Hurt,114512673,75500000,2
Chris Coppola,665426,1.65e+08,1
Michael Jeter,665426,1.65e+08,1
Jon Heder,238150079,114400000,4
Efren Ramirez,44540956,4e+05,1
Jon Gries,44540956,4e+05,1
Shawn Wayans,153020076,1.26e+08,3
Busy Philipps,69148997,3.7e+07,1
Morgan Spurlock,11730718,6065000,3
Daryl Isaacs,11529368,65000,1
Chemeeka Walker,11529368,65000,1
Stephen Tobolowsky,75367693,3.5e+07,1
Chiwetel Ejiofor,616226786,6.18e+08,10
Sienna Guillory,210461303,2.75e+08,4
Irma P. Hall,39692139,3.5e+07,1
John Cho,91346290,4e+07,3
Kal Penn,131083935,6e+07,4
Ethan Embry,18284544,9200000,2
Patrick Wilson,561439081,330950000,12
Doug Jones,134789774,1.51e+08,2
Romola Garai,30264066,4.8e+07,2
Sela Ward,69124198,9.5e+07,2
Henry Darger,0,0,0
Larry Pine,0,0,0
Jon Foster,23078294,9e+06,1
Sienna Miller,417170000,215800000,5
Topher Grace,457909377,3.71e+08,5
Jonathan Bennett,86049418,1.7e+07,1
Dallas Roberts,1029017,6500000,1
Blythe Danner,339610812,1.05e+08,2
Callum Blue,95149435,4e+07,1
Samantha Mathis,37016096,4.3e+07,2
Judy Greer,163041147,167500000,7
Paz Vega,42044321,8e+07,1
Stephen Dillane,52746797,129200000,3
Keira Knightley,1199663020,1.11e+09,10
Ryan Kelley,603943,5e+05,1
Scott Mechlowicz,2715251,20500000,3
Jacinda Barrett,103940701,9.5e+07,3
Reese Witherspoon,764244375,709500000,15
James Purefoy,16123851,2.3e+07,1
Chris Evans,1940144558,1222200000,14
Robert Clotworthy,0,0,0
